api,signature,cycle_ms
PRIVATE_IP_021,FC3_addr97_qty1,2004.248857
PRIVATE_IP_021,FC3_addr0_qty86,1002.361059
PRIVATE_IP_021,FC3_addr94_qty86,1000.621080
PRIVATE_IP_021,FC3_addr94_qty75,1998.224020
PRIVATE_IP_021,FC3_addr0_qty86,1000.883102
PRIVATE_IP_021,FC3_addr94_qty86,998.660088
PRIVATE_IP_021,FC3_addr0_qty75,1999.027967
PRIVATE_IP_021,FC3_addr3_qty1,1996.046066
PRIVATE_IP_021,FC3_addr97_qty1,1994.729042
PRIVATE_IP_021,FC3_addr0_qty86,1000.324965
PRIVATE_IP_021,FC3_addr94_qty86,1000.185966
PRIVATE_IP_021,FC3_addr94_qty75,2001.848936
PRIVATE_IP_021,FC3_addr0_qty86,1001.557827
PRIVATE_IP_021,FC3_addr94_qty86,999.954939
PRIVATE_IP_021,FC3_addr0_qty75,2000.984907
PRIVATE_IP_021,FC3_addr3_qty1,2007.139921
PRIVATE_IP_021,FC3_addr97_qty1,2008.256912
PRIVATE_IP_021,FC3_addr0_qty86,1002.272129
PRIVATE_IP_021,FC3_addr94_qty86,1005.875111
PRIVATE_IP_021,FC3_addr94_qty75,1999.183893
PRIVATE_IP_021,FC3_addr0_qty86,1000.423908
PRIVATE_IP_021,FC3_addr94_qty86,999.523878
PRIVATE_IP_021,FC3_addr0_qty75,2001.745939
PRIVATE_IP_021,FC3_addr3_qty1,2000.675917
PRIVATE_IP_021,FC3_addr97_qty1,2001.732111
PRIVATE_IP_021,FC3_addr0_qty86,1002.482176
PRIVATE_IP_021,FC3_addr94_qty86,1003.648043
PRIVATE_IP_021,FC3_addr94_qty75,2000.960112
PRIVATE_IP_021,FC3_addr0_qty86,998.927832
PRIVATE_IP_021,FC3_addr94_qty86,998.033047
PRIVATE_IP_021,FC3_addr0_qty75,1999.234200
PRIVATE_IP_021,FC3_addr3_qty1,1998.664141
PRIVATE_IP_021,FC3_addr97_qty1,1995.784998
PRIVATE_IP_021,FC3_addr0_qty86,1003.256083
PRIVATE_IP_021,FC3_addr94_qty86,1000.866890
PRIVATE_IP_021,FC3_addr94_qty75,2001.857042
PRIVATE_IP_021,FC3_addr0_qty86,1000.124931
PRIVATE_IP_021,FC3_addr94_qty86,998.204947
PRIVATE_IP_021,FC3_addr0_qty75,2000.917912
PRIVATE_IP_021,FC3_addr3_qty1,2001.372814
PRIVATE_IP_021,FC3_addr97_qty1,2003.762960
PRIVATE_IP_021,FC3_addr0_qty86,1001.736164
PRIVATE_IP_021,FC3_addr94_qty86,1004.758120
PRIVATE_IP_021,FC3_addr94_qty75,1999.765873
PRIVATE_IP_021,FC3_addr0_qty86,999.468803
PRIVATE_IP_021,FC3_addr94_qty86,1000.544071
PRIVATE_IP_021,FC3_addr0_qty75,2001.986980
PRIVATE_IP_021,FC3_addr3_qty1,1999.418020
PRIVATE_IP_021,FC3_addr97_qty1,1999.274969
PRIVATE_IP_021,FC3_addr0_qty86,1002.542973
PRIVATE_IP_021,FC3_addr94_qty86,999.558926
PRIVATE_IP_021,FC3_addr94_qty75,2000.705004
PRIVATE_IP_021,FC3_addr0_qty86,996.172190
PRIVATE_IP_021,FC3_addr94_qty86,996.715069
PRIVATE_IP_021,FC3_addr0_qty75,2000.138998
PRIVATE_IP_021,FC3_addr3_qty1,2004.551172
PRIVATE_IP_021,FC3_addr97_qty1,2002.007961
PRIVATE_IP_021,FC3_addr0_qty86,1001.750946
PRIVATE_IP_021,FC3_addr94_qty86,1001.190901
PRIVATE_IP_021,FC3_addr94_qty75,1999.525070
PRIVATE_IP_021,FC3_addr0_qty86,1002.793074
PRIVATE_IP_021,FC3_addr94_qty86,1004.888058
PRIVATE_IP_021,FC3_addr0_qty75,1999.806881
PRIVATE_IP_021,FC3_addr3_qty1,2008.098841
PRIVATE_IP_021,FC3_addr97_qty1,2007.781982
PRIVATE_IP_021,FC3_addr0_qty86,1001.588821
PRIVATE_IP_021,FC3_addr94_qty86,1002.022982
PRIVATE_IP_021,FC3_addr94_qty75,1998.570919
PRIVATE_IP_021,FC3_addr0_qty86,1001.986980
PRIVATE_IP_021,FC3_addr94_qty86,998.462915
PRIVATE_IP_021,FC3_addr0_qty75,2000.883102
PRIVATE_IP_021,FC3_addr3_qty1,1986.575127
PRIVATE_IP_021,FC3_addr97_qty1,1993.475199
PRIVATE_IP_021,FC3_addr0_qty86,999.330044
PRIVATE_IP_021,FC3_addr94_qty86,1004.745007
PRIVATE_IP_021,FC3_addr94_qty75,2002.056122
PRIVATE_IP_021,FC3_addr0_qty86,1000.650167
PRIVATE_IP_021,FC3_addr94_qty86,997.528076
PRIVATE_IP_021,FC3_addr0_qty75,2002.167940
PRIVATE_IP_021,FC3_addr3_qty1,2004.132032
PRIVATE_IP_021,FC3_addr97_qty1,1997.928858
PRIVATE_IP_021,FC3_addr0_qty86,1000.390768
PRIVATE_IP_021,FC3_addr94_qty86,999.110937
PRIVATE_IP_021,FC3_addr94_qty75,2003.032923
PRIVATE_IP_021,FC3_addr0_qty86,1001.230001
PRIVATE_IP_021,FC3_addr94_qty86,1005.778074
PRIVATE_IP_021,FC3_addr0_qty75,1998.656988
PRIVATE_IP_021,FC3_addr3_qty1,1998.994827
PRIVATE_IP_021,FC3_addr97_qty1,2000.838995
PRIVATE_IP_021,FC3_addr0_qty86,1004.756212
PRIVATE_IP_021,FC3_addr94_qty86,1003.773928
PRIVATE_IP_021,FC3_addr94_qty75,1998.299122
PRIVATE_IP_021,FC3_addr0_qty86,997.651815
PRIVATE_IP_021,FC3_addr94_qty86,997.206926
PRIVATE_IP_021,FC3_addr0_qty75,1999.972105
PRIVATE_IP_021,FC3_addr3_qty1,1998.620033
