epoch,iso,cpu_pct,load1,mem_total_mib,mem_avail_mib,mem_used_mib,mem_used_pct,swap_used_mib,temp_max_c ,net_macsec0_rx_mbps,net_macsec0_tx_mbps,net_macsec0_total_mbps,net_macsec0_rx_pps,net_macsec0_tx_pps,net_macsec0_rx_errors_s,net_macsec0_tx_errors_s,net_macsec0_rx_drops_s,net_macsec0_tx_drops_s ,net_enp2s0_rx_mbps,net_enp2s0_tx_mbps,net_enp2s0_total_mbps,net_enp2s0_rx_pps,net_enp2s0_tx_pps,net_enp2s0_rx_errors_s,net_enp2s0_tx_errors_s,net_enp2s0_rx_drops_s,net_enp2s0_tx_drops_s ,net_enp1s0_rx_mbps,net_enp1s0_tx_mbps,net_enp1s0_total_mbps,net_enp1s0_rx_pps,net_enp1s0_tx_pps,net_enp1s0_rx_errors_s,net_enp1s0_tx_errors_s,net_enp1s0_rx_drops_s,net_enp1s0_tx_drops_s
1781801617.278580292,2026-06-18T16:53:37+00:00,6.489,0.38,7783.762,7258.594,525.168,6.747,0.000,48.00,0.008176,0.013976,0.022152,15.000000,14.000000,0.000000,0.000000,1.000000,0.000000,0.018352,0.014944,0.033296,25.000000,13.000000,0.000000,0.000000,0.000000,0.000000,0.011616,0.014288,0.025904,13.000000,25.000000,0.000000,0.000000,0.000000,0.000000
1781801618.435298254,2026-06-18T16:53:38+00:00,3.688,0.38,7783.762,7258.203,525.559,6.752,0.000,48.00,0.005200,0.008904,0.014104,11.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.012848,0.013688,0.026536,19.000000,13.000000,0.000000,0.000000,0.000000,0.000000,0.010360,0.008576,0.018936,13.000000,18.000000,0.000000,0.000000,0.000000,0.000000
1781801619.828112696,2026-06-18T16:53:39+00:00,7.581,0.35,7783.762,7257.891,525.871,6.756,0.000,48.00,0.008144,0.011400,0.019544,17.000000,15.000000,0.000000,0.000000,0.000000,0.000000,0.019200,0.013016,0.032216,33.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.012336,0.017840,0.030176,15.000000,37.000000,0.000000,0.000000,0.000000,0.000000
1781801621.126680573,2026-06-18T16:53:41+00:00,6.008,0.35,7783.762,7258.207,525.555,6.752,0.000,49.00,0.006688,0.013144,0.019832,14.000000,13.000000,0.000000,0.000000,0.000000,0.000000,0.016368,0.016472,0.032840,22.000000,13.000000,0.000000,0.000000,0.000000,0.000000,0.012936,0.012784,0.025720,13.000000,22.000000,0.000000,0.000000,0.000000,0.000000
1781801622.430287219,2026-06-18T16:53:42+00:00,6.963,0.35,7783.762,7258.059,525.703,6.754,0.000,49.00,0.007216,0.011616,0.018832,15.000000,13.000000,0.000000,0.000000,1.000000,0.000000,0.014864,0.014944,0.029808,22.000000,13.000000,0.000000,0.000000,0.000000,0.000000,0.009432,0.008144,0.017576,10.000000,17.000000,0.000000,0.000000,0.000000,0.000000
1781801623.585862402,2026-06-18T16:53:43+00:00,3.922,0.35,7783.762,7258.414,525.348,6.749,0.000,48.00,0.008144,0.010408,0.018552,17.000000,13.000000,0.000000,0.000000,0.000000,0.000000,0.016832,0.013736,0.030568,26.000000,13.000000,0.000000,0.000000,0.000000,0.000000,0.010408,0.012480,0.022888,13.000000,26.000000,0.000000,0.000000,0.000000,0.000000
1781801624.964784360,2026-06-18T16:53:44+00:00,7.482,0.40,7783.762,7257.910,525.852,6.756,0.000,48.00,0.005728,0.010304,0.016032,13.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.013152,0.015000,0.028152,20.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.012184,0.009568,0.021752,11.000000,20.000000,0.000000,0.000000,0.000000,0.000000
1781801626.294456222,2026-06-18T16:53:46+00:00,6.452,0.40,7783.762,7257.188,526.574,6.765,0.000,48.00,0.008176,0.012536,0.020712,16.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.012992,0.013472,0.026464,19.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.010656,0.009152,0.019808,11.000000,19.000000,0.000000,0.000000,0.000000,0.000000
1781801627.474291300,2026-06-18T16:53:47+00:00,3.838,0.40,7783.762,7256.000,527.762,6.780,0.000,48.00,0.006688,0.008440,0.015128,14.000000,9.000000,0.000000,0.000000,1.000000,0.000000,0.017952,0.012968,0.030920,27.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.009896,0.012432,0.022328,12.000000,26.000000,0.000000,0.000000,0.000000,0.000000
1781801628.833632762,2026-06-18T16:53:48+00:00,7.579,0.40,7783.762,7255.004,528.758,6.793,0.000,48.00,0.006656,0.009368,0.016024,14.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.011168,0.009960,0.021128,18.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.007912,0.008608,0.016520,8.000000,19.000000,0.000000,0.000000,0.000000,0.000000
1781801629.997063741,2026-06-18T16:53:50+00:00,3.680,0.45,7783.762,7254.266,529.496,6.803,0.000,49.00,0.008176,0.013224,0.021400,17.000000,13.000000,0.000000,0.000000,0.000000,0.000000,0.016384,0.016552,0.032936,25.000000,13.000000,0.000000,0.000000,0.000000,0.000000,0.013224,0.012032,0.025256,13.000000,24.000000,0.000000,0.000000,0.000000,0.000000
1781801631.394836047,2026-06-18T16:53:51+00:00,8.094,0.45,7783.762,7252.410,531.352,6.826,0.000,48.00,0.007216,0.011136,0.018352,15.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.013952,0.014208,0.028160,21.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.011136,0.010592,0.021728,12.000000,22.000000,0.000000,0.000000,0.000000,0.000000
1781801632.550615258,2026-06-18T16:53:52+00:00,3.712,0.45,7783.762,7253.336,530.426,6.815,0.000,49.00,0.004768,0.008424,0.013192,10.000000,9.000000,0.000000,0.000000,1.000000,0.000000,0.015472,0.012952,0.028424,24.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.009880,0.010496,0.020376,12.000000,22.000000,0.000000,0.000000,0.000000,0.000000
1781801633.703750377,2026-06-18T16:53:53+00:00,3.704,0.45,7783.762,7255.176,528.586,6.791,0.000,48.00,0.008144,0.010920,0.019064,17.000000,14.000000,0.000000,0.000000,0.000000,0.000000,0.013920,0.012280,0.026200,22.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.009464,0.010592,0.020056,11.000000,22.000000,0.000000,0.000000,0.000000,0.000000
1781801634.857184621,2026-06-18T16:53:54+00:00,3.704,0.42,7783.762,7256.422,527.340,6.775,0.000,48.00,0.004768,0.011432,0.016200,10.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.028168,0.013736,0.041904,25.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.015704,0.028056,0.043760,12.000000,30.000000,0.000000,0.000000,0.000000,0.000000
1781801636.170890847,2026-06-18T16:53:56+00:00,6.154,0.42,7783.762,7256.184,527.578,6.778,0.000,49.00,0.008512,0.014760,0.023272,18.000000,16.000000,0.000000,0.000000,0.000000,0.000000,0.019856,0.018856,0.038712,31.000000,16.000000,0.000000,0.000000,0.000000,0.000000,0.012192,0.013760,0.025952,14.000000,28.000000,0.000000,0.000000,0.000000,0.000000
1781801637.503031674,2026-06-18T16:53:57+00:00,6.955,0.42,7783.762,7255.211,528.551,6.790,0.000,48.00,0.007216,0.013048,0.020264,15.000000,13.000000,0.000000,0.000000,1.000000,0.000000,0.015824,0.016376,0.032200,24.000000,13.000000,0.000000,0.000000,0.000000,0.000000,0.011840,0.011568,0.023408,15.000000,25.000000,0.000000,0.000000,0.000000,0.000000
1781801638.659219842,2026-06-18T16:53:58+00:00,3.478,0.42,7783.762,7255.984,527.777,6.780,0.000,48.00,0.006656,0.009368,0.016024,14.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.011680,0.012184,0.023864,17.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.008872,0.006640,0.015512,8.000000,13.000000,0.000000,0.000000,0.000000,0.000000
1781801639.877264564,2026-06-18T16:53:59+00:00,4.555,0.46,7783.762,7254.273,529.488,6.802,0.000,48.00,0.006256,0.008952,0.015208,13.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.012960,0.011512,0.024472,20.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.012712,0.011552,0.024264,12.000000,24.000000,0.000000,0.000000,0.000000,0.000000
1781801641.197849063,2026-06-18T16:54:01+00:00,7.266,0.46,7783.762,7254.664,529.098,6.797,0.000,49.00,0.006688,0.012184,0.018872,14.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.013632,0.015000,0.028632,21.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.008904,0.008128,0.017032,10.000000,17.000000,0.000000,0.000000,0.000000,0.000000
