sample,elapsed_s,mem_total_mib,swpd_mib,free_mib,buff_mib,cache_mib,available_proxy_mib,used_including_cache_mib,used_including_cache_pct,used_without_buffer_cache_mib,used_without_buffer_cache_pct,swap_in_kib_s,swap_out_kib_s,context_switches_s,cpu_user_pct,cpu_system_pct,cpu_idle_pct,cpu_iowait_pct
104,103,24032.0,4.03515625,1376.0625,397.36328125,20578.14453125,22351.5703125,22655.9375,94.27404086218375,1680.4296875,6.9924670751498,0.0,0.0,5565.0,5.0,3.0,91.0,0.0
105,104,24032.0,4.03515625,1376.0625,397.36328125,20578.16015625,22351.5859375,22655.9375,94.27404086218375,1680.4140625,6.992402057673103,0.0,0.0,2104.0,5.0,2.0,93.0,0.0
106,105,24032.0,4.03515625,1378.74609375,397.36328125,20578.17578125,22354.28515625,22653.25390625,94.26287411056093,1677.71484375,6.981170288573568,0.0,0.0,2253.0,4.0,2.0,93.0,0.0
107,106,24032.0,4.03515625,1373.35546875,397.36328125,20578.2265625,22348.9453125,22658.64453125,94.28530514002163,1683.0546875,7.00339001123502,0.0,0.0,3022.0,6.0,4.0,90.0,0.0
108,107,24032.0,4.03515625,1371.90625,397.36328125,20578.2421875,22347.51171875,22660.09375,94.29133551098535,1684.48828125,7.009355364722038,0.0,0.0,2424.0,5.0,2.0,93.0,0.0
109,108,24032.0,4.03515625,1370.18359375,397.36328125,20578.29296875,22345.83984375,22661.81640625,94.29850368779128,1686.16015625,7.016312234728696,0.0,0.0,2204.0,4.0,2.0,93.0,0.0
110,109,24032.0,4.03515625,1368.21875,397.36328125,20578.30859375,22343.890625,22663.78125,94.30667963548602,1688.109375,7.024423164946738,0.0,0.0,2150.0,4.0,2.0,93.0,0.0
111,110,24032.0,4.03515625,1367.48046875,397.36328125,20578.34765625,22343.19140625,22664.51953125,94.30975171125998,1688.80859375,7.027332697028961,0.0,0.0,2013.0,4.0,2.0,94.0,0.0
112,111,24032.0,4.03515625,1363.39453125,397.36328125,20578.375,22339.1328125,22668.60546875,94.32675378141646,1692.8671875,7.044220986601199,0.0,0.0,4962.0,7.0,4.0,89.0,0.0
113,112,24032.0,4.03515625,1365.1328125,397.36328125,20578.40234375,22340.8984375,22666.8671875,94.31952058713382,1691.1015625,7.036874011734354,0.0,0.0,2182.0,5.0,2.0,93.0,0.0
114,113,24032.0,4.03515625,1368.5859375,397.36328125,20578.43359375,22344.3828125,22663.4140625,94.30515172478363,1687.6171875,7.022375114430759,0.0,0.0,4450.0,8.0,3.0,89.0,0.0
115,114,24032.0,4.03515625,1377.91796875,397.36328125,20578.46484375,22353.74609375,22654.08203125,94.2663200368259,1678.25390625,6.983413391519641,0.0,0.0,2670.0,7.0,3.0,91.0,0.0
116,115,24032.0,4.03515625,1376.44921875,397.36328125,20578.5,22352.3125,22655.55078125,94.27243167963549,1679.6875,6.989378745006658,0.0,0.0,1946.0,4.0,2.0,94.0,0.0
117,116,24032.0,4.03515625,1383.01171875,397.36328125,20578.5390625,22358.9140625,22648.98828125,94.24512433942243,1673.0859375,6.961908861101865,0.0,0.0,3139.0,6.0,4.0,90.0,0.0
118,117,24032.0,4.03515625,1382.4765625,397.36328125,20578.6953125,22358.53515625,22649.5234375,94.24735118799934,1673.46484375,6.963485534911785,0.0,0.0,2586.0,5.0,3.0,92.0,0.0
119,118,24032.0,4.03515625,1377.828125,397.36328125,20578.71875,22353.91015625,22654.171875,94.2666938873169,1678.08984375,6.982730708014315,0.0,0.0,2307.0,5.0,3.0,92.0,0.0
120,119,24032.0,4.03515625,1386.5546875,397.36328125,20578.75390625,22362.671875,22645.4453125,94.23038162658123,1669.328125,6.9462721579560585,0.0,0.0,2105.0,4.0,2.0,94.0,0.0
121,120,24032.0,4.03515625,1376.359375,397.36328125,20578.78125,22352.50390625,22655.640625,94.2728055301265,1679.49609375,6.988582280917111,0.0,0.0,4155.0,5.0,3.0,92.0,0.0
122,121,24032.0,4.03515625,1373.95703125,397.36328125,20578.796875,22350.1171875,22658.04296875,94.28280196716877,1681.8828125,6.99851370048269,0.0,0.0,2360.0,5.0,3.0,93.0,0.0
123,122,24032.0,4.03515625,1376.07421875,397.36328125,20578.84375,22352.28125,22655.92578125,94.27399209907622,1679.71875,6.989508779960054,0.0,0.0,3178.0,7.0,4.0,89.0,0.0
124,123,24032.0,4.03515625,1379.79296875,397.36328125,20578.8671875,22356.0234375,22652.20703125,94.25851793962217,1675.9765625,6.973937094290945,0.0,0.0,2136.0,4.0,3.0,93.0,0.0
125,124,24032.0,4.03515625,1378.0078125,397.36328125,20578.89453125,22354.265625,22653.9921875,94.26594618633489,1677.734375,6.981251560419441,0.0,0.0,2266.0,5.0,3.0,92.0,0.0
126,125,24032.0,4.03515625,1392.51953125,397.36328125,20578.90625,22368.7890625,22639.48046875,94.20556120485186,1663.2109375,6.920817815828895,0.0,0.0,2545.0,9.0,2.0,89.0,0.0
127,126,24032.0,4.03515625,1387.23828125,397.36328125,20578.95703125,22363.55859375,22644.76171875,94.2275371119757,1668.44140625,6.942582416153462,0.0,0.0,2184.0,4.0,2.0,93.0,0.0
128,127,24032.0,4.03515625,1385.5078125,397.36328125,20579.08203125,22361.953125,22646.4921875,94.23473779751997,1670.046875,6.949262961884155,0.0,0.0,2960.0,5.0,4.0,91.0,0.0
129,128,24032.0,4.03515625,1394.34765625,397.36328125,20579.08984375,22370.80078125,22637.65234375,94.19795416007824,1661.19921875,6.912446815704061,0.0,0.0,2212.0,5.0,2.0,93.0,0.0
