request_frame,response_frame,client_ip,server_ip,transaction_id,unit_id,function_code,function_base,function_name,reference_num,quantity,register_signature,request_time_epoch,response_time_epoch,rtt_ms,status,is_exception,exception_code,request_bytes,response_bytes
18467,18474,PRIVATE_IP_001,PRIVATE_IP_019,97,1,3,3,Read Holding Registers,53.0,1.0,fc3:unit1:reg53:qty1:serverPRIVATE_IP_019,1781798531.105234,1781798531.109387,4.153013229370117,matched,False,,12,11
18468,18484,PRIVATE_IP_001,PRIVATE_IP_017,97,1,3,3,Read Holding Registers,1.0,1.0,fc3:unit1:reg1:qty1:serverPRIVATE_IP_017,1781798531.1053436,1781798531.123241,17.897367477416992,matched,True,2.0,12,9
18469,18482,PRIVATE_IP_001,PRIVATE_IP_010,97,1,3,3,Read Holding Registers,0.0,22.0,fc3:unit1:reg0:qty22:serverPRIVATE_IP_010,1781798531.1054485,1781798531.1230738,17.62533187866211,matched,False,,12,53
18471,18480,PRIVATE_IP_001,PRIVATE_IP_022,120,1,3,3,Read Holding Registers,94.0,75.0,fc3:unit1:reg94:qty75:serverPRIVATE_IP_022,1781798531.1055315,1781798531.116341,10.809659957885742,matched,False,,12,159
18490,18491,PRIVATE_IP_001,PRIVATE_IP_016,5,1,3,3,Read Holding Registers,300.0,22.0,fc3:unit1:reg300:qty22:serverPRIVATE_IP_016,1781798531.3557048,1781798531.3624024,6.697654724121094,matched,False,,12,53
18493,18494,PRIVATE_IP_001,PRIVATE_IP_016,6,1,3,3,Read Holding Registers,1.0,124.0,fc3:unit1:reg1:qty124:serverPRIVATE_IP_016,1781798531.3686073,1781798531.3728702,4.2629241943359375,matched,False,,12,257
18495,18498,PRIVATE_IP_001,PRIVATE_IP_016,7,1,3,3,Read Holding Registers,125.0,88.0,fc3:unit1:reg125:qty88:serverPRIVATE_IP_016,1781798531.3813229,1781798531.386839,5.51605224609375,matched,False,,12,185
18496,18500,PRIVATE_IP_001,PRIVATE_IP_018,11,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_018,1781798531.3840063,1781798531.388432,4.425764083862305,matched,False,,12,209
18497,18502,PRIVATE_IP_001,PRIVATE_IP_021,194,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_021,1781798531.3852954,1781798531.3902988,5.003452301025391,matched,False,,12,209
18499,18505,PRIVATE_IP_001,PRIVATE_IP_019,11,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_019,1781798531.388255,1781798531.3916912,3.4363269805908203,matched,False,,12,209
