frame_index,time_epoch,src_ip,dst_ip,src_port,dst_port,direction,payload_bytes,syn,fin,rst,ack,probable_retransmission
140,1781798344.0002015,PRIVATE_IP_001,PRIVATE_IP_018,41230,502,query,0,0,1,0,1,0
141,1781798344.0002356,PRIVATE_IP_001,PRIVATE_IP_019,41082,502,query,0,0,1,0,1,0
142,1781798344.000269,PRIVATE_IP_001,PRIVATE_IP_021,38980,502,query,0,0,1,0,1,0
143,1781798344.0003011,PRIVATE_IP_001,PRIVATE_IP_022,35200,502,query,0,0,1,0,1,0
144,1781798344.0009434,PRIVATE_IP_001,PRIVATE_IP_016,43888,502,query,12,0,0,0,1,0
145,1781798344.0009935,PRIVATE_IP_001,PRIVATE_IP_018,40184,502,query,12,0,0,0,1,0
146,1781798344.0010405,PRIVATE_IP_001,PRIVATE_IP_013,34650,502,query,12,0,0,0,1,0
147,1781798344.0010648,PRIVATE_IP_001,PRIVATE_IP_015,49162,502,query,12,0,0,0,1,0
148,1781798344.0010886,PRIVATE_IP_001,PRIVATE_IP_014,39968,502,query,12,0,0,0,1,0
149,1781798344.0011196,PRIVATE_IP_001,PRIVATE_IP_020,41420,502,query,12,0,0,0,1,0
150,1781798344.0011609,PRIVATE_IP_016,PRIVATE_IP_001,502,38372,response,0,1,0,0,1,0
151,1781798344.0011666,PRIVATE_IP_001,PRIVATE_IP_016,38362,502,query,0,0,1,0,1,0
152,1781798344.0012007,PRIVATE_IP_001,PRIVATE_IP_016,38372,502,query,0,0,0,0,1,0
153,1781798344.0018103,PRIVATE_IP_001,PRIVATE_IP_016,38372,502,query,0,0,1,0,1,0
154,1781798344.0022814,PRIVATE_IP_018,PRIVATE_IP_001,502,41230,response,0,0,0,0,1,0
155,1781798344.002329,PRIVATE_IP_019,PRIVATE_IP_001,502,41082,response,0,0,0,0,1,0
156,1781798344.0026386,PRIVATE_IP_015,PRIVATE_IP_001,502,49162,response,0,0,0,0,1,0
157,1781798344.0026848,PRIVATE_IP_014,PRIVATE_IP_001,502,39968,response,0,0,0,0,1,0
158,1781798344.0027254,PRIVATE_IP_013,PRIVATE_IP_001,502,34650,response,0,0,0,0,1,0
159,1781798344.0030468,PRIVATE_IP_001,PRIVATE_IP_022,60586,502,query,12,0,0,0,1,0
160,1781798344.0030737,PRIVATE_IP_022,PRIVATE_IP_001,502,35200,response,0,0,0,0,1,0
161,1781798344.0032766,PRIVATE_IP_021,PRIVATE_IP_001,502,38980,response,0,0,0,0,1,0
162,1781798344.0039296,PRIVATE_IP_018,PRIVATE_IP_001,502,41230,response,0,0,1,0,1,0
163,1781798344.0039668,PRIVATE_IP_001,PRIVATE_IP_018,41230,502,query,0,0,0,0,1,0
164,1781798344.0045865,PRIVATE_IP_019,PRIVATE_IP_001,502,41082,response,0,0,1,0,1,0
165,1781798344.0046191,PRIVATE_IP_001,PRIVATE_IP_019,41082,502,query,0,0,0,0,1,0
166,1781798344.0046508,PRIVATE_IP_016,PRIVATE_IP_001,502,38362,response,0,0,0,0,1,0
167,1781798344.005095,PRIVATE_IP_018,PRIVATE_IP_001,502,40184,response,11,0,0,0,1,0
168,1781798344.0051463,PRIVATE_IP_001,PRIVATE_IP_018,40184,502,query,0,0,0,0,1,0
169,1781798344.0053096,PRIVATE_IP_021,PRIVATE_IP_001,502,38980,response,0,0,1,0,1,0
170,1781798344.0053422,PRIVATE_IP_001,PRIVATE_IP_021,38980,502,query,0,0,0,0,1,0
171,1781798344.0067196,PRIVATE_IP_016,PRIVATE_IP_001,502,38372,response,0,0,0,0,1,0
