procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   4132 1415700 406900 21071488    0    0     0   208 3063 2663  5  3 93  0  0  0
 3  0   4132 1417340 406900 21071504    0    0     0  1148 3806 2883  5  4 91  0  0  0
 3  0   4132 1422704 406900 21071536    0    0     0   288 2733 2201  4  2 93  0  0  0
 1  0   4132 1419740 406900 21071556    0    0     0    80 2728 2216  4  2 94  0  0  0
 1  0   4132 1420960 406900 21071588    0    0     0   368 3087 2395  4  3 93  0  0  0
 1  0   4132 1418188 406900 21071612    0    0     0   104 2555 2141  4  2 94  0  0  0
 1  0   4132 1416380 406900 21071644    0    0     0  1104 6017 5237 11  5 84  0  0  0
 1  0   4132 1414196 406900 21071660    0    0     0   892 3150 2448  5  3 92  0  0  0
 1  0   4132 1416100 406900 21071696    0    0     0   120 2764 2257  4  2 94  0  0  0
 1  0   4132 1413108 406900 21071720    0    0     0    92 2627 2091  4  2 94  0  0  0
 2  0   4132 1406928 406900 21071740    0    0     0   424 2707 2111  4  2 93  0  0  0
 2  0   4132 1410868 406900 21071756    0    0     0   140 3053 2550  5  3 92  0  0  0
 1  0   4132 1411588 406900 21071800    0    0     0   224 2959 2358  5  3 93  0  0  0
 1  0   4132 1409824 406900 21071816    0    0     0   292 2919 2293  5  3 93  0  0  0
 1  0   4132 1409824 406900 21071848    0    0     0   376 2731 2132  4  2 94  0  0  0
 1  0   4132 1413732 406900 21071864    0    0     0    96 2843 2381  4  2 94  0  0  0
 1  0   4132 1418968 406900 21071940    0    0     0   164 2736 2211  4  2 94  0  0  0
 1  0   4132 1413948 406900 21071964    0    0     0  1488 5569 5135  6  5 89  0  0  0
 2  0   4132 1411204 406900 21071996    0    0     0   260 3416 2650  9  2 89  0  0  0
 1  0   4132 1409088 406900 21072020    0    0     0   104 4986 5565  5  3 91  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   4132 1409088 406900 21072036    0    0     0   376 2736 2104  5  2 93  0  0  0
 1  0   4132 1411836 406900 21072052    0    0     0   136 2686 2253  4  2 93  0  0  0
 4  0   4132 1406316 406900 21072104    0    0     0   996 3851 3022  6  4 90  0  0  0
 2  0   4132 1404832 406900 21072120    0    0     0   640 3318 2424  5  2 93  0  0  0
 1  0   4132 1403068 406900 21072172    0    0     0   132 2743 2204  4  2 93  0  0  0
 1  0   4132 1401056 406900 21072188    0    0     0    84 2601 2150  4  2 93  0  0  0
 1  0   4132 1400300 406900 21072228    0    0     0   156 2538 2013  4  2 94  0  0  0
 2  0   4132 1396116 406900 21072256    0    0     0   624 5013 4962  7  4 89  0  0  0
 1  0   4132 1397896 406900 21072284    0    0     0   836 2959 2182  5  2 93  0  0  0
 5  0   4132 1401432 406900 21072316    0    0     0    92 4652 4450  8  3 89  0  0  0
 1  0   4132 1410988 406900 21072348    0    0     0   392 3434 2670  7  3 91  0  0  0
 1  0   4132 1409484 406900 21072384    0    0     0   152 2469 1946  4  2 94  0  0  0
 2  0   4132 1416204 406900 21072424    0    0     0   324 3753 3139  6  4 90  0  0  0
 2  0   4132 1415656 406900 21072584    0    0     0   360 3556 2586  5  3 92  0  0  0
 1  0   4132 1410896 406900 21072608    0    0     0   168 2900 2307  5  3 92  0  0  0
 0  0   4132 1419832 406900 21072644    0    0     0    96 2604 2105  4  2 94  0  0  0
 1  0   4132 1409392 406900 21072672    0    0     0   396 4359 4155  5  3 92  0  0  0
 1  0   4132 1406932 406900 21072688    0    0     0   216 2886 2360  5  3 93  0  0  0
 1  0   4132 1409100 406900 21072736    0    0     0  1072 4187 3178  7  4 89  0  0  0
 2  0   4132 1412908 406900 21072760    0    0     0   344 2895 2136  4  3 93  0  0  0
 1  0   4132 1411080 406900 21072788    0    0     0   128 2938 2266  5  3 92  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   4132 1425940 406900 21072800    0    0     0   112 3326 2545  9  2 89  0  0  0
 0  0   4132 1420532 406900 21072852    0    0     0   256 2677 2184  4  2 93  0  0  0
 0  0   4132 1418760 406900 21072980    0    0     0  1068 3667 2960  5  4 91  0  0  0
 0  0   4132 1427812 406900 21072988    0    0     0   124 2841 2212  5  2 93  0  0  0
 0  0   4132 1424540 406900 21073028    0    0     0    80 3169 2357  5  3 92  0  0  0
 1  0   4132 1426784 406900 21073048    0    0     0   400 2757 2141  5  2 93  0  0  0
 0  0   4132 1418736 406900 21073060    0    0     0   188 4036 4145  5  3 92  0  0  0
 0  0   4132 1416004 406900 21073096    0    0     0  1356 4099 3101  6  4 90  0  0  0
 0  0   4132 1414056 406900 21073136    0    0     0   328 5617 6077  6  4 90  0  0  0
 1  0   4132 1412040 406900 21073156    0    0     0   124 2627 2233  4  2 94  0  0  0
 1  0   4132 1410276 406900 21073196    0    0     0   112 2660 2174  4  2 94  0  0  0
 0  0   4132 1408512 406900 21073212    0    0     0   524 3279 2372  8  2 89  0  0  0
 2  0   4132 1402980 406904 21073228    0    0     0   756 3457 2849  5  4 91  0  0  0
 0  0   4132 1402252 406904 21073280    0    0     0   120 2878 2279  5  3 92  0  0  0
 0  0   4132 1411972 406904 21073292    0    0     0   344 3051 2429  4  2 93  0  0  0
 0  0   4132 1409732 406904 21073320    0    0     0   172 2660 2008  4  2 94  0  0  0
 0  0   4132 1411116 406904 21073336    0    0     0   200 4144 4010  5  3 92  0  0  0
 1  0   4132 1408152 406904 21073380    0    0     0   256 2845 2301  4  2 94  0  0  0
 1  0   4132 1404844 406904 21073400    0    0     0  1616 4890 4191  7  4 89  0  0  0
 1  0   4132 1401068 406904 21073440    0    0     0   132 3759 3256  6  3 91  0  0  0
 1  0   4132 1400620 406904 21073452    0    0     0   116 2713 2219  4  2 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   4132 1403152 406904 21073476    0    0     0   540 3026 2512  4  2 93  0  0  0
 0  0   4132 1410044 406904 21073500    0    0     0   128 2576 2115  4  2 94  0  0  0
 1  0   4132 1403496 406904 21073536    0    0     0  3132 4678 3286 10  4 86  0  0  0
 0  0   4132 1403032 406904 21073544    0    0     0   332 3171 2488  5  3 93  0  0  0
