frame_index,time_epoch,src_ip,dst_ip,src_port,dst_port,direction,transaction_id,protocol_id,length,unit_id,function_code,function_base,function_name,is_exception,exception_code,reference_num,quantity,byte_count,value_hex,adu_bytes,tcp_payload_bytes,register_signature
97,1781802241.868131,PRIVATE_IP_001,PRIVATE_IP_022,50432,502,query,155,0,6,1,3,3,Read Holding Registers,False,,97.0,1.0,,,12,12,fc3:unit1:reg97:qty1:serverPRIVATE_IP_022
98,1781802241.8692932,PRIVATE_IP_001,PRIVATE_IP_022,35586,502,query,1,0,6,1,3,3,Read Holding Registers,False,,0.0,86.0,,,12,12,fc3:unit1:reg0:qty86:serverPRIVATE_IP_022
99,1781802241.8738346,PRIVATE_IP_022,PRIVATE_IP_001,502,50432,response,155,0,5,1,3,3,Read Holding Registers,False,,,,2.0,REDACTED_PAYLOAD,11,11,
100,1781802241.8780584,PRIVATE_IP_022,PRIVATE_IP_001,502,35586,response,1,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
102,1781802241.880314,PRIVATE_IP_001,PRIVATE_IP_022,35586,502,query,2,0,6,1,3,3,Read Holding Registers,False,,94.0,86.0,,,12,12,fc3:unit1:reg94:qty86:serverPRIVATE_IP_022
103,1781802241.8891122,PRIVATE_IP_022,PRIVATE_IP_001,502,35586,response,2,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
113,1781802242.8628178,PRIVATE_IP_001,PRIVATE_IP_022,50432,502,query,156,0,6,1,3,3,Read Holding Registers,False,,94.0,75.0,,,12,12,fc3:unit1:reg94:qty75:serverPRIVATE_IP_022
114,1781802242.8692482,PRIVATE_IP_022,PRIVATE_IP_001,502,50432,response,156,0,153,1,3,3,Read Holding Registers,False,,,,150.0,REDACTED_PAYLOAD,159,159,
116,1781802242.8707266,PRIVATE_IP_001,PRIVATE_IP_022,35586,502,query,3,0,6,1,3,3,Read Holding Registers,False,,0.0,86.0,,,12,12,fc3:unit1:reg0:qty86:serverPRIVATE_IP_022
117,1781802242.8770761,PRIVATE_IP_022,PRIVATE_IP_001,502,35586,response,3,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
119,1781802242.8825898,PRIVATE_IP_001,PRIVATE_IP_022,35586,502,query,4,0,6,1,3,3,Read Holding Registers,False,,94.0,86.0,,,12,12,fc3:unit1:reg94:qty86:serverPRIVATE_IP_022
120,1781802242.8892279,PRIVATE_IP_022,PRIVATE_IP_001,502,35586,response,4,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
129,1781802243.8496432,PRIVATE_IP_001,PRIVATE_IP_022,50432,502,query,157,0,6,1,3,3,Read Holding Registers,False,,0.0,75.0,,,12,12,fc3:unit1:reg0:qty75:serverPRIVATE_IP_022
130,1781802243.857007,PRIVATE_IP_022,PRIVATE_IP_001,502,50432,response,157,0,153,1,3,3,Read Holding Registers,False,,,,150.0,REDACTED_PAYLOAD,159,159,
132,1781802243.8611221,PRIVATE_IP_001,PRIVATE_IP_022,50432,502,query,158,0,6,1,3,3,Read Holding Registers,False,,3.0,1.0,,,12,12,fc3:unit1:reg3:qty1:serverPRIVATE_IP_022
133,1781802243.8676527,PRIVATE_IP_022,PRIVATE_IP_001,502,50432,response,158,0,5,1,3,3,Read Holding Registers,False,,,,2.0,REDACTED_PAYLOAD,11,11,
134,1781802243.8704944,PRIVATE_IP_001,PRIVATE_IP_022,50432,502,query,159,0,6,1,3,3,Read Holding Registers,False,,97.0,1.0,,,12,12,fc3:unit1:reg97:qty1:serverPRIVATE_IP_022
135,1781802243.8706088,PRIVATE_IP_001,PRIVATE_IP_022,35586,502,query,5,0,6,1,3,3,Read Holding Registers,False,,0.0,86.0,,,12,12,fc3:unit1:reg0:qty86:serverPRIVATE_IP_022
136,1781802243.8771603,PRIVATE_IP_022,PRIVATE_IP_001,502,35586,response,5,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
138,1781802243.8787186,PRIVATE_IP_022,PRIVATE_IP_001,502,50432,response,159,0,5,1,3,3,Read Holding Registers,False,,,,2.0,REDACTED_PAYLOAD,11,11,
139,1781802243.8838468,PRIVATE_IP_001,PRIVATE_IP_022,35586,502,query,6,0,6,1,3,3,Read Holding Registers,False,,94.0,86.0,,,12,12,fc3:unit1:reg94:qty86:serverPRIVATE_IP_022
140,1781802243.896385,PRIVATE_IP_022,PRIVATE_IP_001,502,35586,response,6,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
150,1781802244.8649993,PRIVATE_IP_001,PRIVATE_IP_022,50432,502,query,160,0,6,1,3,3,Read Holding Registers,False,,94.0,75.0,,,12,12,fc3:unit1:reg94:qty75:serverPRIVATE_IP_022
151,1781802244.8719869,PRIVATE_IP_001,PRIVATE_IP_022,35586,502,query,7,0,6,1,3,3,Read Holding Registers,False,,0.0,86.0,,,12,12,fc3:unit1:reg0:qty86:serverPRIVATE_IP_022
152,1781802244.8742847,PRIVATE_IP_022,PRIVATE_IP_001,502,50432,response,160,0,153,1,3,3,Read Holding Registers,False,,,,150.0,REDACTED_PAYLOAD,159,159,
154,1781802244.8820024,PRIVATE_IP_022,PRIVATE_IP_001,502,35586,response,7,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
156,1781802244.8859036,PRIVATE_IP_001,PRIVATE_IP_022,35586,502,query,8,0,6,1,3,3,Read Holding Registers,False,,94.0,86.0,,,12,12,fc3:unit1:reg94:qty86:serverPRIVATE_IP_022
157,1781802244.8911169,PRIVATE_IP_022,PRIVATE_IP_001,502,35586,response,8,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
166,1781802245.8518574,PRIVATE_IP_001,PRIVATE_IP_022,50432,502,query,161,0,6,1,3,3,Read Holding Registers,False,,0.0,75.0,,,12,12,fc3:unit1:reg0:qty75:serverPRIVATE_IP_022
167,1781802245.861322,PRIVATE_IP_022,PRIVATE_IP_001,502,50432,response,161,0,153,1,3,3,Read Holding Registers,False,,,,150.0,REDACTED_PAYLOAD,159,159,
169,1781802245.8683574,PRIVATE_IP_001,PRIVATE_IP_022,50432,502,query,162,0,6,1,3,3,Read Holding Registers,False,,3.0,1.0,,,12,12,fc3:unit1:reg3:qty1:serverPRIVATE_IP_022
170,1781802245.8707712,PRIVATE_IP_001,PRIVATE_IP_022,35586,502,query,9,0,6,1,3,3,Read Holding Registers,False,,0.0,86.0,,,12,12,fc3:unit1:reg0:qty86:serverPRIVATE_IP_022
171,1781802245.8760076,PRIVATE_IP_022,PRIVATE_IP_001,502,50432,response,162,0,5,1,3,3,Read Holding Registers,False,,,,2.0,REDACTED_PAYLOAD,11,11,
172,1781802245.8781838,PRIVATE_IP_022,PRIVATE_IP_001,502,35586,response,9,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
174,1781802245.8795526,PRIVATE_IP_001,PRIVATE_IP_022,50432,502,query,163,0,6,1,3,3,Read Holding Registers,False,,97.0,1.0,,,12,12,fc3:unit1:reg97:qty1:serverPRIVATE_IP_022
175,1781802245.8807797,PRIVATE_IP_001,PRIVATE_IP_022,35586,502,query,10,0,6,1,3,3,Read Holding Registers,False,,94.0,86.0,,,12,12,fc3:unit1:reg94:qty86:serverPRIVATE_IP_022
176,1781802245.8872342,PRIVATE_IP_022,PRIVATE_IP_001,502,35586,response,10,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
177,1781802245.8908,PRIVATE_IP_022,PRIVATE_IP_001,502,50432,response,163,0,5,1,3,3,Read Holding Registers,False,,,,2.0,REDACTED_PAYLOAD,11,11,
187,1781802246.868237,PRIVATE_IP_001,PRIVATE_IP_022,50432,502,query,164,0,6,1,3,3,Read Holding Registers,False,,94.0,75.0,,,12,12,fc3:unit1:reg94:qty75:serverPRIVATE_IP_022
188,1781802246.877217,PRIVATE_IP_022,PRIVATE_IP_001,502,50432,response,164,0,153,1,3,3,Read Holding Registers,False,,,,150.0,REDACTED_PAYLOAD,159,159,
189,1781802246.8772597,PRIVATE_IP_001,PRIVATE_IP_022,35586,502,query,11,0,6,1,3,3,Read Holding Registers,False,,0.0,86.0,,,12,12,fc3:unit1:reg0:qty86:serverPRIVATE_IP_022
191,1781802246.8851686,PRIVATE_IP_022,PRIVATE_IP_001,502,35586,response,11,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
193,1781802246.8873563,PRIVATE_IP_001,PRIVATE_IP_022,35586,502,query,12,0,6,1,3,3,Read Holding Registers,False,,94.0,86.0,,,12,12,fc3:unit1:reg94:qty86:serverPRIVATE_IP_022
194,1781802246.8947768,PRIVATE_IP_022,PRIVATE_IP_001,502,35586,response,12,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
203,1781802247.8539968,PRIVATE_IP_001,PRIVATE_IP_022,50432,502,query,165,0,6,1,3,3,Read Holding Registers,False,,0.0,75.0,,,12,12,fc3:unit1:reg0:qty75:serverPRIVATE_IP_022
204,1781802247.861132,PRIVATE_IP_022,PRIVATE_IP_001,502,50432,response,165,0,153,1,3,3,Read Holding Registers,False,,,,150.0,REDACTED_PAYLOAD,159,159,
206,1781802247.863783,PRIVATE_IP_001,PRIVATE_IP_022,50432,502,query,166,0,6,1,3,3,Read Holding Registers,False,,3.0,1.0,,,12,12,fc3:unit1:reg3:qty1:serverPRIVATE_IP_022
207,1781802247.868825,PRIVATE_IP_022,PRIVATE_IP_001,502,50432,response,166,0,5,1,3,3,Read Holding Registers,False,,,,2.0,REDACTED_PAYLOAD,11,11,
208,1781802247.8723352,PRIVATE_IP_001,PRIVATE_IP_022,50432,502,query,167,0,6,1,3,3,Read Holding Registers,False,,97.0,1.0,,,12,12,fc3:unit1:reg97:qty1:serverPRIVATE_IP_022
209,1781802247.8724408,PRIVATE_IP_001,PRIVATE_IP_022,35586,502,query,13,0,6,1,3,3,Read Holding Registers,False,,0.0,86.0,,,12,12,fc3:unit1:reg0:qty86:serverPRIVATE_IP_022
210,1781802247.8801036,PRIVATE_IP_022,PRIVATE_IP_001,502,35586,response,13,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
212,1781802247.8824902,PRIVATE_IP_022,PRIVATE_IP_001,502,50432,response,167,0,5,1,3,3,Read Holding Registers,False,,,,2.0,REDACTED_PAYLOAD,11,11,
213,1781802247.8835309,PRIVATE_IP_001,PRIVATE_IP_022,35586,502,query,14,0,6,1,3,3,Read Holding Registers,False,,94.0,86.0,,,12,12,fc3:unit1:reg94:qty86:serverPRIVATE_IP_022
