procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0   4132 2322964 402268 20331476    0    0     0  1000 4516 3199  6  4 90  0  0  0
 1  0   4132 2320948 402268 20331488    0    0     0   340 3623 2328 10  2 88  0  0  0
 1  0   4132 2320476 402268 20331536    0    0     0   136 3243 2337  5  2 93  0  0  0
 2  0   4132 2320012 402268 20331556    0    0     0   308 4819 4254  6  4 90  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   4132 2315388 402268 20331572    0    0     0    56 6772 7664  7  4 89  0  0  0
 1  0   4132 2316660 402268 20331592    0    0     0   328 4201 3041  6  4 90  0  0  0
 1  0   4132 2318512 402268 20331632    0    0     0   240 3490 2435  5  3 93  0  0  0
 4  0   4132 2316252 402268 20331648    0    0     0   396 3381 2266  5  2 93  0  0  0
 2  0   4132 2323412 402268 20331684    0    0     0    92 3009 2201  4  2 93  0  0  0
 2  0   4132 2322556 402268 20331708    0    0     0   112 3657 2879  6  3 92  0  0  0
 1  0   4132 2328904 402268 20331744    0    0     0  1220 4380 2989  6  4 90  0  0  0
 1  0   4132 2332348 402268 20331768    0    0     0   112 3341 2121  5  3 92  0  0  0
 0  0   4132 2335232 402268 20331812    0    0     0    88 3927 2629  9  3 88  0  0  0
 4  0   4132 2330392 402268 20331860    0    0     0   384 4887 4330  6  3 91  0  0  0
 1  0   4132 2332660 402268 20331876    0    0     0    80 3032 2081  4  2 94  0  0  0
 2  0   4132 2329948 402268 20331916    0    0     0   232 3420 2264  5  2 92  0  0  0
 1  0   4132 2326900 402268 20331944    0    0     0  1352 4723 3219  6  4 90  0  0  0
 3  0   4132 2325136 402268 20331960    0    0     0   124 3798 2665  5  3 92  0  0  0
 1  0   4132 2325136 402268 20332008    0    0     0    76 3087 2154  4  2 93  0  0  0
 3  0   4132 2339408 402268 20332020    0    0     0   668 3449 2388  5  2 93  0  0  0
 1  0   4132 2337116 402268 20332076    0    0     0   224 3078 2164  5  2 93  0  0  0
 1  0   4132 2330264 402268 20332096    0    0     0   844 4581 3121  6  4 90  0  0  0
 1  0   4132 2330328 402268 20332152    0    0     0    96 3384 2421  5  2 93  0  0  0
 0  0   4132 2334712 402268 20332164    0    0     0   112 3189 2083  4  2 94  0  0  0
 0  0   4132 2330404 402268 20332212    0    0     0    80 3387 2139  9  2 89  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   4132 2330936 402268 20332232    0    0     0   228 3445 2314  5  3 92  0  0  0
 0  0   4132 2325940 402268 20332296    0    0     0   128 4082 2990  5  4 91  0  0  0
 0  0   4132 2332020 402268 20332348    0    0     0   148 3839 2687  5  3 92  0  0  0
 1  0   4132 2332020 402268 20332352    0    0     0   100 2996 2037  4  2 93  0  0  0
 0  0   4132 2330256 402268 20332384    0    0     0   940 3091 2078  4  2 93  0  0  0
 0  0   4132 2333632 402268 20332400    0    0     0   316 3042 2186  4  2 94  0  0  0
 0  0   4132 2329948 402268 20332452    0    0     0   880 4426 3103  6  4 90  0  0  0
 2  0   4132 2328184 402268 20332496    0    0     0   188 3522 2626  5  3 93  0  0  0
 0  0   4132 2324164 402268 20332512    0    0     0   124 4701 4339  5  3 92  0  0  0
 0  0   4132 2323104 402268 20332548    0    0     0   120 7377 8427  7  5 88  0  0  0
 0  0   4132 2328680 402268 20332548    0    0     0   284 3652 2367 10  2 88  0  0  0
 1  0   4132 2332172 402268 20332600    0    0     0    84 3039 2159  5  2 93  0  0  0
 0  0   4132 2326276 402268 20332628    0    0     0  1092 4801 3258  6  4 90  0  0  0
 0  0   4132 2324080 402272 20332652    0    0     0   100 3420 2447  5  3 92  0  0  0
 0  0   4132 2322284 402272 20332680    0    0     0   120 3355 2454  4  2 93  0  0  0
 1  0   4132 2327764 402272 20332704    0    0     0   380 3147 2174  4  2 94  0  0  0
 0  0   4132 2323488 402272 20332712    0    0     0   112 3154 2245  4  2 93  0  0  0
 1  0   4132 2326912 402272 20332764    0    0     0   760 4561 3383  6  4 90  0  0  0
 0  0   4132 2330476 402272 20332788    0    0     0   136 4915 4476  5  3 92  0  0  0
 0  0   4132 2336004 402272 20332820    0    0     0    72 2962 2100  4  2 94  0  0  0
 0  0   4132 2334240 402272 20332820    0    0     0   228 3534 2334 10  2 88  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   4132 2338224 402272 20332872    0    0     0    72 3222 2345  4  2 94  0  0  0
 0  0   4132 2330856 402272 20332896    0    0     0   180 4216 3046  6  4 90  0  0  0
 0  0   4132 2331824 402272 20332940    0    0     0    84 3360 2336  4  2 93  0  0  0
 0  0   4132 2330060 402272 20332940    0    0     0   112 3235 2344  5  2 93  0  0  0
 0  0   4132 2328048 402272 20332992    0    0     0    72 2905 1997  4  2 94  0  0  0
 0  0   4132 2326464 402272 20333004    0    0     0   224 3790 2653  6  3 92  0  0  0
 0  0   4132 2328296 402272 20333044    0    0     0   840 4460 3212  6  4 90  0  0  0
 0  0   4132 2332108 402272 20333080    0    0     0   120 3377 2338  5  2 93  0  0  0
 0  0   4132 2338804 402272 20333108    0    0     0    84 3273 2272  4  2 93  0  0  0
 0  0   4132 2335812 402272 20333140    0    0     0   104 3533 2322  9  2 89  0  0  0
 0  0   4132 2333796 402272 20333148    0    0     0   288 3039 2193  4  2 94  0  0  0
 0  0   4132 2331808 402272 20333180    0    0     0   136 3530 2590  5  3 93  0  0  0
 0  0   4132 2331928 402272 20333212    0    0     0  1016 4462 2947  6  4 90  0  0  0
 2  0   4132 2329916 402272 20333236    0    0     0   108 3142 2235  4  2 94  0  0  0
 1  0   4132 2329160 402272 20333264    0    0     0   880 2971 2202  4  2 94  0  0  0
 1  0   4132 2328908 402272 20333296    0    0     0   220 3011 2111  4  2 93  1  0  0
 0  0   4132 2333508 402272 20333296    0    0     0   140 3183 2378  4  2 94  0  0  0
 0  0   4132 2320712 402272 20333348    0    0     0   860 6303 5337  7  5 88  0  0  0
 0  0   4132 2323172 402272 20333392    0    0     0    92 7627 8607  7  4 88  0  0  0
 1  0   4132 2320428 402272 20333436    0    0     0   112 3593 2188  9  2 88  0  0  0
 0  0   4132 2326896 402272 20333488    0    0     0   332 3188 2293  4  2 94  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
