Linux 6.8.0-55-generic (ubuntu) 	16/06/26 	_x86_64_	(8 CPU)

15:59:37     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:59:50       2    2,06    0,00    1,03    0,00    0,00    0,00    0,00    0,00    0,00   96,91
15:59:50       3   26,26    0,00    4,04    0,00    0,00    1,01    0,00    0,00    0,00   68,69
15:59:50       4    2,04    0,00    2,04    0,00    0,00    0,00    0,00    0,00    0,00   95,92
15:59:50       5    2,02    0,00    4,04    0,00    0,00    0,00    0,00    0,00    0,00   93,94
15:59:50       6    2,02    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   95,96
15:59:50       7    4,00    0,00    2,00    0,00    0,00    1,00    0,00    0,00    0,00   93,00

15:59:50     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:59:51     all    6,46    0,00    2,78    0,25    0,00    0,25    0,00    0,00    0,00   90,25
15:59:51       0    8,08    0,00    3,03    1,01    0,00    0,00    0,00    0,00    0,00   87,88
15:59:51       1    6,00    0,00    3,00    1,00    0,00    0,00    0,00    0,00    0,00   90,00
15:59:51       2   12,24    0,00    3,06    0,00    0,00    0,00    0,00    0,00    0,00   84,69
15:59:51       3    1,01    0,00    3,03    0,00    0,00    1,01    0,00    0,00    0,00   94,95
15:59:51       4    5,00    0,00    3,00    0,00    0,00    1,00    0,00    0,00    0,00   91,00
15:59:51       5   12,24    0,00    4,08    0,00    0,00    0,00    0,00    0,00    0,00   83,67
15:59:51       6    4,08    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   94,90
15:59:51       7    3,06    0,00    2,04    0,00    0,00    0,00    0,00    0,00    0,00   94,90

15:59:51     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:59:52     all    7,72    0,00    4,05    0,13    0,00    0,51    0,00    0,00    0,00   87,59
15:59:52       0    4,00    0,00    3,00    1,00    0,00    1,00    0,00    0,00    0,00   91,00
15:59:52       1    5,05    0,00    4,04    0,00    0,00    1,01    0,00    0,00    0,00   89,90
15:59:52       2    5,05    0,00    4,04    0,00    0,00    1,01    0,00    0,00    0,00   89,90
15:59:52       3    5,10    0,00    4,08    0,00    0,00    0,00    0,00    0,00    0,00   90,82
15:59:52       4   25,25    0,00    4,04    0,00    0,00    1,01    0,00    0,00    0,00   69,70
15:59:52       5    6,12    0,00    4,08    0,00    0,00    0,00    0,00    0,00    0,00   89,80
15:59:52       6    3,03    0,00    4,04    0,00    0,00    0,00    0,00    0,00    0,00   92,93
15:59:52       7    8,16    0,00    5,10    0,00    0,00    0,00    0,00    0,00    0,00   86,73

15:59:52     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:59:53     all    4,80    0,00    2,02    0,13    0,00    0,38    0,00    0,00    0,00   92,68
15:59:53       0    2,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00
15:59:53       1    3,06    0,00    2,04    0,00    0,00    0,00    0,00    0,00    0,00   94,90
15:59:53       2    2,02    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   96,97
15:59:53       3    2,04    0,00    2,04    0,00    0,00    0,00    0,00    0,00    0,00   95,92
15:59:53       4   17,17    0,00    3,03    0,00    0,00    1,01    0,00    0,00    0,00   78,79
15:59:53       5    3,00    0,00    5,00    1,00    0,00    0,00    0,00    0,00    0,00   91,00
15:59:53       6    9,09    0,00    2,02    0,00    0,00    1,01    0,00    0,00    0,00   87,88
15:59:53       7    0,00    0,00    0,00    0,00    0,00    1,01    0,00    0,00    0,00   98,99

15:59:53     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:59:54     all    6,05    0,00    3,90    0,13    0,00    0,25    0,00    0,00    0,00   89,67
15:59:54       0    4,00    0,00    6,00    0,00    0,00    1,00    0,00    0,00    0,00   89,00
15:59:54       1    2,04    0,00    3,06    0,00    0,00    0,00    0,00    0,00    0,00   94,90
15:59:54       2    7,00    0,00    3,00    0,00    0,00    0,00    0,00    0,00    0,00   90,00
15:59:54       3    3,03    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   94,95
15:59:54       4    3,03    0,00    2,02    1,01    0,00    0,00    0,00    0,00    0,00   93,94
15:59:54       5    6,06    0,00    8,08    0,00    0,00    1,01    0,00    0,00    0,00   84,85
15:59:54       6   17,00    0,00    3,00    0,00    0,00    0,00    0,00    0,00    0,00   80,00
