request_frame,response_frame,client_ip,server_ip,transaction_id,unit_id,function_code,function_base,function_name,reference_num,quantity,register_signature,request_time_epoch,response_time_epoch,rtt_ms,status,is_exception,exception_code,request_bytes,response_bytes
4496,4497,PRIVATE_IP_001,PRIVATE_IP_015,191,1,3,3,Read Holding Registers,125.0,88.0,fc3:unit1:reg125:qty88:serverPRIVATE_IP_015,1781647191.1522665,1781647191.1566243,4.357814788818359,matched,False,,12,185
4498,4499,PRIVATE_IP_001,PRIVATE_IP_015,192,1,3,3,Read Holding Registers,101.0,33.0,fc3:unit1:reg101:qty33:serverPRIVATE_IP_015,1781647191.1583312,1781647191.1636667,5.335569381713867,matched,False,,12,75
4502,4504,PRIVATE_IP_001,PRIVATE_IP_019,133,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_019,1781647191.4659078,1781647191.4711542,5.246400833129883,matched,False,,12,209
4503,4506,PRIVATE_IP_001,PRIVATE_IP_018,138,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_018,1781647191.4705083,1781647191.4741137,3.605365753173828,matched,False,,12,209
4523,4552,PRIVATE_IP_001,PRIVATE_IP_017,133,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_017,1781647191.5298584,1781647191.538105,8.246660232543945,matched,False,,12,209
4525,4535,PRIVATE_IP_001,PRIVATE_IP_025,133,1,4,4,Read Input Registers,0.0,30.0,fc4:unit1:reg0:qty30:serverPRIVATE_IP_025,1781647191.5299044,1781647191.5323455,2.4411678314208984,matched,False,,12,69
4526,4550,PRIVATE_IP_001,PRIVATE_IP_020,133,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_020,1781647191.5299418,1781647191.5378208,7.879018783569336,matched,False,,12,209
4544,4556,PRIVATE_IP_001,PRIVATE_IP_021,84,1,3,3,Read Holding Registers,94.0,75.0,fc3:unit1:reg94:qty75:serverPRIVATE_IP_021,1781647191.5357335,1781647191.5418646,6.131172180175781,matched,False,,12,159
4562,4563,PRIVATE_IP_001,PRIVATE_IP_021,173,1,3,3,Read Holding Registers,0.0,86.0,fc3:unit1:reg0:qty86:serverPRIVATE_IP_021,1781647191.5651336,1781647191.5717783,6.644725799560547,matched,False,,12,181
4565,4566,PRIVATE_IP_001,PRIVATE_IP_021,174,1,3,3,Read Holding Registers,94.0,86.0,fc3:unit1:reg94:qty86:serverPRIVATE_IP_021,1781647191.5781374,1781647191.5868337,8.696317672729492,matched,False,,12,181
4568,4569,PRIVATE_IP_001,PRIVATE_IP_015,193,1,3,3,Read Holding Registers,300.0,22.0,fc3:unit1:reg300:qty22:serverPRIVATE_IP_015,1781647192.1326323,1781647192.1397831,7.150888442993164,matched,False,,12,53
4571,4572,PRIVATE_IP_001,PRIVATE_IP_015,194,1,3,3,Read Holding Registers,1.0,124.0,fc3:unit1:reg1:qty124:serverPRIVATE_IP_015,1781647192.1429114,1781647192.1475513,4.639863967895508,matched,False,,12,257
4573,4574,PRIVATE_IP_001,PRIVATE_IP_015,195,1,3,3,Read Holding Registers,125.0,88.0,fc3:unit1:reg125:qty88:serverPRIVATE_IP_015,1781647192.1592653,1781647192.1655955,6.330251693725586,matched,False,,12,185
4575,4576,PRIVATE_IP_001,PRIVATE_IP_015,196,1,3,3,Read Holding Registers,101.0,33.0,fc3:unit1:reg101:qty33:serverPRIVATE_IP_015,1781647192.168644,1781647192.1757398,7.095813751220703,matched,False,,12,75
4582,4583,PRIVATE_IP_001,PRIVATE_IP_019,134,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_019,1781647192.465589,1781647192.4701674,4.578351974487305,matched,False,,12,209
4585,4586,PRIVATE_IP_001,PRIVATE_IP_018,139,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_018,1781647192.4737806,1781647192.4782495,4.4689178466796875,matched,False,,12,209
4606,4631,PRIVATE_IP_001,PRIVATE_IP_017,134,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_017,1781647192.532,1781647192.539152,7.15184211730957,matched,False,,12,209
4607,4615,PRIVATE_IP_001,PRIVATE_IP_025,134,1,4,4,Read Input Registers,0.0,30.0,fc4:unit1:reg0:qty30:serverPRIVATE_IP_025,1781647192.5321445,1781647192.5341918,2.047300338745117,matched,False,,12,69
4608,4620,PRIVATE_IP_001,PRIVATE_IP_020,134,1,3,3,Read Holding Registers,0.0,100.0,fc3:unit1:reg0:qty100:serverPRIVATE_IP_020,1781647192.5321977,1781647192.5356977,3.4999847412109375,matched,False,,12,209
4639,4662,PRIVATE_IP_001,PRIVATE_IP_012,208,1,3,3,Read Holding Registers,0.0,22.0,fc3:unit1:reg0:qty22:serverPRIVATE_IP_012,1781647192.546047,1781647192.5652952,19.248247146606445,matched,False,,12,53
4640,4655,PRIVATE_IP_001,PRIVATE_IP_009,208,1,3,3,Read Holding Registers,0.0,22.0,fc3:unit1:reg0:qty22:serverPRIVATE_IP_009,1781647192.5462375,1781647192.5635333,17.29583740234375,matched,False,,12,53
4641,4665,PRIVATE_IP_001,PRIVATE_IP_014,208,1,3,3,Read Holding Registers,0.0,22.0,fc3:unit1:reg0:qty22:serverPRIVATE_IP_014,1781647192.5462728,1781647192.566121,19.848346710205078,matched,False,,12,53
4642,4667,PRIVATE_IP_001,PRIVATE_IP_013,208,1,3,3,Read Holding Registers,0.0,22.0,fc3:unit1:reg0:qty22:serverPRIVATE_IP_013,1781647192.5463006,1781647192.566777,20.476341247558594,matched,False,,12,53
4647,4648,PRIVATE_IP_001,PRIVATE_IP_019,208,1,3,3,Read Holding Registers,0.0,76.0,fc3:unit1:reg0:qty76:serverPRIVATE_IP_019,1781647192.553792,1781647192.5577161,3.924131393432617,matched,False,,12,161
4650,4657,PRIVATE_IP_001,PRIVATE_IP_018,192,1,3,3,Read Holding Registers,53.0,1.0,fc3:unit1:reg53:qty1:serverPRIVATE_IP_018,1781647192.559951,1781647192.563559,3.6079883575439453,matched,False,,12,11
4651,4653,PRIVATE_IP_001,PRIVATE_IP_017,192,1,3,3,Read Holding Registers,24.0,1.0,fc3:unit1:reg24:qty1:serverPRIVATE_IP_017,1781647192.5600057,1781647192.563497,3.4914016723632812,matched,False,,12,11
4652,4677,PRIVATE_IP_001,PRIVATE_IP_016,192,1,3,3,Read Holding Registers,1.0,1.0,fc3:unit1:reg1:qty1:serverPRIVATE_IP_016,1781647192.5600588,1781647192.5760572,15.998363494873047,matched,True,2.0,12,9
4659,4669,PRIVATE_IP_001,PRIVATE_IP_015,127,1,3,3,Read Holding Registers,1.0,1.0,fc3:unit1:reg1:qty1:serverPRIVATE_IP_015,1781647192.5636914,1781647192.5691195,5.428075790405273,matched,False,,12,11
4661,4671,PRIVATE_IP_001,PRIVATE_IP_021,85,1,3,3,Read Holding Registers,0.0,75.0,fc3:unit1:reg0:qty75:serverPRIVATE_IP_021,1781647192.564959,1781647192.5705223,5.563259124755859,matched,False,,12,159
4663,4675,PRIVATE_IP_001,PRIVATE_IP_021,175,1,3,3,Read Holding Registers,0.0,86.0,fc3:unit1:reg0:qty86:serverPRIVATE_IP_021,1781647192.565312,1781647192.5736527,8.340835571289062,matched,False,,12,181
4673,4679,PRIVATE_IP_001,PRIVATE_IP_015,128,1,3,3,Read Holding Registers,215.0,1.0,fc3:unit1:reg215:qty1:serverPRIVATE_IP_015,1781647192.5724857,1781647192.5769572,4.471540451049805,matched,False,,12,11
4674,4681,PRIVATE_IP_001,PRIVATE_IP_021,86,1,3,3,Read Holding Registers,3.0,1.0,fc3:unit1:reg3:qty1:serverPRIVATE_IP_021,1781647192.5725317,1781647192.5792007,6.669044494628906,matched,False,,12,11
4680,4683,PRIVATE_IP_001,PRIVATE_IP_021,176,1,3,3,Read Holding Registers,94.0,86.0,fc3:unit1:reg94:qty86:serverPRIVATE_IP_021,1781647192.5789392,1781647192.5835273,4.588127136230469,matched,False,,12,181
4682,4684,PRIVATE_IP_001,PRIVATE_IP_021,87,1,3,3,Read Holding Registers,97.0,1.0,fc3:unit1:reg97:qty1:serverPRIVATE_IP_021,1781647192.5811548,1781647192.5893347,8.179903030395508,matched,False,,12,11
4688,4689,PRIVATE_IP_001,PRIVATE_IP_015,197,1,3,3,Read Holding Registers,300.0,22.0,fc3:unit1:reg300:qty22:serverPRIVATE_IP_015,1781647193.1329894,1781647193.1394527,6.463289260864258,matched,False,,12,53
4691,4692,PRIVATE_IP_001,PRIVATE_IP_015,198,1,3,3,Read Holding Registers,1.0,124.0,fc3:unit1:reg1:qty124:serverPRIVATE_IP_015,1781647193.1441016,1781647193.148662,4.5604705810546875,matched,False,,12,257
4693,4694,PRIVATE_IP_001,PRIVATE_IP_015,199,1,3,3,Read Holding Registers,125.0,88.0,fc3:unit1:reg125:qty88:serverPRIVATE_IP_015,1781647193.1532547,1781647193.1573915,4.136800765991211,matched,False,,12,185
