frame_index,time_epoch,src_ip,dst_ip,src_port,dst_port,direction,payload_bytes,syn,fin,rst,ack,probable_retransmission
117,1781647146.5282078,PRIVATE_IP_001,PRIVATE_IP_020,41780,502,query,0,0,1,0,1,0
118,1781647146.528302,PRIVATE_IP_001,PRIVATE_IP_015,57328,502,query,0,0,1,0,1,0
119,1781647146.5285718,PRIVATE_IP_001,PRIVATE_IP_012,57816,502,query,12,0,0,0,1,0
120,1781647146.5286384,PRIVATE_IP_001,PRIVATE_IP_009,55732,502,query,12,0,0,0,1,0
121,1781647146.5286741,PRIVATE_IP_001,PRIVATE_IP_014,59954,502,query,12,0,0,0,1,0
122,1781647146.5304384,PRIVATE_IP_012,PRIVATE_IP_001,502,57816,response,0,0,0,0,1,0
123,1781647146.5305135,PRIVATE_IP_009,PRIVATE_IP_001,502,55732,response,0,0,0,0,1,0
124,1781647146.5305922,PRIVATE_IP_014,PRIVATE_IP_001,502,59954,response,0,0,0,0,1,0
125,1781647146.5306451,PRIVATE_IP_020,PRIVATE_IP_001,502,41780,response,0,0,0,0,1,0
126,1781647146.5312555,PRIVATE_IP_018,PRIVATE_IP_001,502,48334,response,0,0,0,0,1,0
127,1781647146.5315232,PRIVATE_IP_017,PRIVATE_IP_001,502,42732,response,0,0,0,0,1,0
128,1781647146.5315883,PRIVATE_IP_015,PRIVATE_IP_001,502,57322,response,0,0,0,0,1,0
129,1781647146.5316694,PRIVATE_IP_021,PRIVATE_IP_001,502,38008,response,0,0,0,0,1,0
130,1781647146.5317283,PRIVATE_IP_020,PRIVATE_IP_001,502,41780,response,0,0,1,0,1,0
131,1781647146.531776,PRIVATE_IP_001,PRIVATE_IP_020,41780,502,query,0,0,0,0,1,0
132,1781647146.5323708,PRIVATE_IP_018,PRIVATE_IP_001,502,48334,response,0,0,1,0,1,0
133,1781647146.5324216,PRIVATE_IP_001,PRIVATE_IP_018,48334,502,query,0,0,0,0,1,0
134,1781647146.532494,PRIVATE_IP_015,PRIVATE_IP_001,502,57328,response,0,0,0,0,1,0
135,1781647146.532558,PRIVATE_IP_017,PRIVATE_IP_001,502,42732,response,0,0,1,0,1,0
136,1781647146.5325909,PRIVATE_IP_001,PRIVATE_IP_017,42732,502,query,0,0,0,0,1,0
137,1781647146.5388339,PRIVATE_IP_015,PRIVATE_IP_001,502,57322,response,0,0,1,0,1,0
138,1781647146.53888,PRIVATE_IP_001,PRIVATE_IP_015,57322,502,query,0,0,0,0,1,0
139,1781647146.53985,PRIVATE_IP_001,PRIVATE_IP_013,36868,502,query,12,0,0,0,1,0
140,1781647146.5399432,PRIVATE_IP_001,PRIVATE_IP_019,48838,502,query,12,0,0,0,1,0
141,1781647146.540032,PRIVATE_IP_001,PRIVATE_IP_018,42228,502,query,12,0,0,0,1,0
142,1781647146.540097,PRIVATE_IP_001,PRIVATE_IP_017,56656,502,query,12,0,0,0,1,0
143,1781647146.5401444,PRIVATE_IP_015,PRIVATE_IP_001,502,57328,response,0,0,1,0,1,0
144,1781647146.5401614,PRIVATE_IP_001,PRIVATE_IP_016,44840,502,query,12,0,0,0,1,0
145,1781647146.540185,PRIVATE_IP_001,PRIVATE_IP_015,57328,502,query,0,0,0,0,1,0
146,1781647146.541249,PRIVATE_IP_013,PRIVATE_IP_001,502,36868,response,0,0,0,0,1,0
147,1781647146.5440614,PRIVATE_IP_018,PRIVATE_IP_001,502,42228,response,11,0,0,0,1,0
148,1781647146.5441163,PRIVATE_IP_001,PRIVATE_IP_018,42228,502,query,0,0,0,0,1,0
149,1781647146.544263,PRIVATE_IP_017,PRIVATE_IP_001,502,56656,response,11,0,0,0,1,0
150,1781647146.5443451,PRIVATE_IP_001,PRIVATE_IP_017,56656,502,query,0,0,0,0,1,0
151,1781647146.5446107,PRIVATE_IP_019,PRIVATE_IP_001,502,48838,response,161,0,0,0,1,0
152,1781647146.5446563,PRIVATE_IP_001,PRIVATE_IP_019,48838,502,query,0,0,0,0,1,0
153,1781647146.5450072,PRIVATE_IP_016,PRIVATE_IP_001,502,44840,response,0,0,0,0,1,0
