frame_index,time_epoch,src_ip,dst_ip,src_port,dst_port,direction,transaction_id,protocol_id,length,unit_id,function_code,function_base,function_name,is_exception,exception_code,reference_num,quantity,byte_count,value_hex,adu_bytes,tcp_payload_bytes,register_signature
187,1781647147.1116767,PRIVATE_IP_016,PRIVATE_IP_001,502,54632,response,13,0,47,1,3,3,Read Holding Registers,False,,,,44.0,REDACTED_PAYLOAD,53,53,
189,1781647147.1176395,PRIVATE_IP_001,PRIVATE_IP_016,54632,502,query,14,0,6,1,3,3,Read Holding Registers,False,,1.0,124.0,,,12,12,fc3:unit1:reg1:qty124:serverPRIVATE_IP_016
190,1781647147.1249068,PRIVATE_IP_016,PRIVATE_IP_001,502,54632,response,14,0,251,1,3,3,Read Holding Registers,False,,,,248.0,REDACTED_PAYLOAD,257,257,
191,1781647147.1316013,PRIVATE_IP_001,PRIVATE_IP_016,54632,502,query,15,0,6,1,3,3,Read Holding Registers,False,,125.0,88.0,,,12,12,fc3:unit1:reg125:qty88:serverPRIVATE_IP_016
192,1781647147.1387193,PRIVATE_IP_016,PRIVATE_IP_001,502,54632,response,15,0,179,1,3,3,Read Holding Registers,False,,,,176.0,REDACTED_PAYLOAD,185,185,
193,1781647147.1419852,PRIVATE_IP_001,PRIVATE_IP_016,54632,502,query,16,0,6,1,3,3,Read Holding Registers,False,,101.0,33.0,,,12,12,fc3:unit1:reg101:qty33:serverPRIVATE_IP_016
194,1781647147.1478052,PRIVATE_IP_016,PRIVATE_IP_001,502,54632,response,16,0,69,1,3,3,Read Holding Registers,False,,,,66.0,REDACTED_PAYLOAD,75,75,
196,1781647147.4382381,PRIVATE_IP_001,PRIVATE_IP_020,48364,502,query,89,0,6,1,3,3,Read Holding Registers,False,,0.0,100.0,,,12,12,fc3:unit1:reg0:qty100:serverPRIVATE_IP_020
197,1781647147.443985,PRIVATE_IP_020,PRIVATE_IP_001,502,48364,response,89,0,203,1,3,3,Read Holding Registers,False,,,,200.0,REDACTED_PAYLOAD,209,209,
199,1781647147.449493,PRIVATE_IP_001,PRIVATE_IP_019,39078,502,query,94,0,6,1,3,3,Read Holding Registers,False,,0.0,100.0,,,12,12,fc3:unit1:reg0:qty100:serverPRIVATE_IP_019
