procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   4132 2184412 402984 20448964    0    0     0   220 2916 2056  4  2 94  0  0  0
 0  0   4132 2183632 402984 20448980    0    0     0   104 3240 2364  4  2 94  0  0  0
 2  0   4132 2180164 402984 20449020    0    0     0   148 2867 1968  4  2 94  0  0  0
 0  0   4132 2180336 402984 20449056    0    0     0  1080 4641 3178  6  4 90  0  0  0
 0  0   4132 2183956 402984 20449076    0    0     0   100 5499 6255  6  3 92  0  0  0
 6  0   4132 2192288 402984 20449112    0    0     0   376 5111 4675  6  3 90  0  0  0
 0  0   4132 2191704 402984 20449140    0    0     0    96 3443 2188  9  2 89  0  0  0
 3  0   4132 2187992 402984 20449168    0    0     0   100 5096 5582  6  3 91  0  0  0
 1  0   4132 2196704 402984 20449200    0    0     0   896 4382 3008  6  4 90  0  0  0
 1  0   4132 2194356 402984 20449236    0    0     0   144 3317 2313  4  2 93  0  0  0
 0  0   4132 2192340 402984 20449260    0    0     0   220 3189 2375  4  2 93  0  0  0
 1  0   4132 2188560 402984 20449272    0    0     0   112 3614 2482  5  2 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0   4132 2185296 402984 20449300    0    0     0    84 3968 3451  5  2 93  0  0  0
 0  0   4132 2182088 402984 20449332    0    0     0   196 4915 3868  6  4 90  0  0  0
 0  0   4132 2182088 402984 20449388    0    0     0    96 3383 2304  4  2 93  0  0  0
 0  0   4132 2179820 402984 20449396    0    0     0   352 3220 2240  5  2 93  0  0  0
 0  0   4132 2178840 402984 20449432    0    0     0    80 3377 2159  9  2 89  0  0  0
 1  0   4132 2176572 402984 20449456    0    0     0   132 4884 4492  6  3 91  0  0  0
 0  0   4132 2181020 402984 20449624    0    0     0   836 4382 3015  6  4 90  0  0  0
 2  0   4132 2177316 402984 20449640    0    0     0   100 4920 5108  6  3 91  0  0  0
 1  0   4132 2185924 402984 20449672    0    0     0   212 3264 2207  5  2 93  0  0  0
 2  0   4132 2186292 402984 20449676    0    0     0   124 2778 1723  4  2 94  0  0  0
 0  0   4132 2185144 402984 20449728    0    0     0    84 3100 2156  4  2 93  0  0  0
 2  0   4132 2183068 402984 20449740    0    0     0   188 3418 2369  5  3 92  0  0  0
 0  0   4132 2184000 402984 20449812    0    0     0  1620 4441 3091  6  3 91  0  0  0
 0  0   4132 2185656 402984 20449816    0    0     0   284 3321 2393  5  3 93  0  0  0
 5  0   4132 2184172 402984 20449888    0    0     0   188 3082 2178  5  2 93  0  0  0
 0  0   4132 2183164 402984 20449888    0    0     0   112 3800 2644 10  3 87  0  0  0
 0  0   4132 2189548 402984 20449952    0    0     0   120 3284 2417  4  3 93  0  0  0
 3  0   4132 2182904 402984 20449964    0    0     0  1124 6285 6266  8  5 88  0  0  0
 0  0   4132 2193556 402984 20449996    0    0     0   120 3370 2248  5  3 92  0  0  0
 0  0   4132 2193276 402984 20450024    0    0     0   252 3148 2265  4  2 93  0  0  0
 1  0   4132 2190040 402984 20450052    0    0     0    84 3173 2238  5  2 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   4132 2187272 402984 20450056    0    0     0   148 3004 2101  4  2 94  0  0  0
 4  0   4132 2184916 402984 20450108    0    0     0   176 6615 6868  8  5 87  0  0  0
 1  0   4132 2185272 402984 20450116    0    0     0   236 4564 3746  6  3 91  0  0  0
 1  0   4132 2182440 402984 20450156    0    0     0   304 2848 1745  5  2 93  0  0  0
 0  0   4132 2186004 402984 20450172    0    0     0   112 2999 1987  4  2 94  0  0  0
 0  0   4132 2183740 402984 20450208    0    0     0   124 3434 2209  9  2 89  0  0  0
 1  0   4132 2180292 402984 20450244    0    0     0   948 4715 3274  6  4 90  0  0  0
 0  0   4132 2180296 402984 20450292    0    0     0    80 3264 2209  5  2 93  0  0  0
 0  0   4132 2180296 402984 20450308    0    0     0   292 3075 2309  4  2 94  0  0  0
 2  0   4132 2180072 402984 20450336    0    0     0   284 3001 2147  5  2 93  0  0  0
 0  0   4132 2180992 402984 20450352    0    0     0   124 4949 4200  6  3 91  0  0  0
 7  0   4132 2178220 402984 20450404    0    0     0   132 3635 2570  5  3 92  0  0  0
 0  0   4132 2182156 402984 20450412    0    0     0  1072 4257 2968  5  3 92  0  0  0
 0  0   4132 2180648 402984 20450464    0    0     0   248 3246 2379  5  2 93  0  0  0
 1  0   4132 2183232 402984 20450508    0    0     0   120 5013 4353  6  3 91  0  0  0
 0  0   4132 2191140 402984 20450512    0    0     0    92 3000 2138  4  2 94  0  0  0
 0  0   4132 2193060 402984 20450556    0    0     0   112 3429 2482  5  3 92  0  0  0
 0  0   4132 2190440 402984 20450592    0    0     0   900 4451 2992 10  4 86  0  0  0
 0  0   4132 2188676 402984 20450600    0    0     0   288 3246 2291  5  2 93  0  0  0
 0  0   4132 2187976 402984 20450636    0    0     0    80 3338 2498  5  2 93  0  0  0
 0  0   4132 2186000 402984 20450636    0    0     0   116 3247 2246  5  2 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   4132 2185792 402984 20450672    0    0     0    84 2939 1998  5  2 94  0  0  0
 1  0   4132 2183444 402984 20450692    0    0     0   740 4301 3142  6  4 89  0  0  0
 0  0   4132 2185896 402984 20450760    0    0     0   368 3397 2403  5  3 93  0  0  0
 0  0   4132 2186092 402984 20450780    0    0     0   112 5149 5749  6  3 91  0  0  0
 0  0   4132 2193084 402984 20450820    0    0     0   112 3397 2377  4  2 93  0  0  0
 0  0   4132 2191856 402984 20450824    0    0     0   116 3272 2386  5  2 93  0  0  0
 1  0   4132 2190712 402984 20450912    0    0     0  1028 4553 3115  6  4 89  0  0  0
 1  0   4132 2193116 402984 20450928    0    0     0   240 3530 2615  5  3 92  0  0  0
 0  0   4132 2191788 402984 20450956    0    0     0   136 3570 2321  9  3 88  0  0  0
 0  0   4132 2193304 402984 20450984    0    0     0   148 4234 3937  6  3 91  0  0  0
 7  0   4132 2192724 402984 20450992    0    0     0    76 4913 4922  5  3 92  0  0  0
