sample,elapsed_s,mem_total_mib,swpd_mib,free_mib,buff_mib,cache_mib,available_proxy_mib,used_including_cache_mib,used_including_cache_pct,used_without_buffer_cache_mib,used_without_buffer_cache_pct,swap_in_kib_s,swap_out_kib_s,context_switches_s,cpu_user_pct,cpu_system_pct,cpu_idle_pct,cpu_iowait_pct
71,70,24032.0,4.03515625,2150.47265625,393.51953125,19965.01953125,22509.01171875,21881.52734375,91.05162842772138,1522.98828125,6.337334725574234,0.0,0.0,2225.0,5.0,2.0,93.0,0.0
72,71,24032.0,4.03515625,2148.515625,393.51953125,19965.05078125,22507.0859375,21883.484375,91.05977186667776,1524.9140625,6.34534812957723,0.0,0.0,2137.0,4.0,2.0,93.0,0.0
73,72,24032.0,4.03515625,2135.23828125,393.51953125,19965.08203125,22493.83984375,21896.76171875,91.11502046750167,1538.16015625,6.400466695447736,0.0,0.0,7879.0,7.0,4.0,89.0,0.0
74,73,24032.0,4.03515625,2133.5546875,393.51953125,19965.11328125,22492.1875,21898.4453125,91.12202610061586,1539.8125,6.407342293608521,0.0,0.0,2213.0,4.0,2.0,93.0,0.0
75,74,24032.0,4.03515625,2136.828125,393.51953125,19965.16015625,22495.5078125,21895.171875,91.10840493924766,1536.4921875,6.393526079810254,0.0,0.0,2813.0,10.0,4.0,87.0,0.0
76,75,24032.0,4.03515625,2136.0625,393.51953125,19965.19921875,22494.78125,21895.9375,91.11159079560586,1537.21875,6.3965493924766985,0.0,0.0,2386.0,5.0,2.0,93.0,0.0
77,76,24032.0,4.03515625,2133.62890625,393.51953125,19965.23046875,22492.37890625,21898.37109375,91.12171726760153,1539.62109375,6.406545829518976,0.0,0.0,2129.0,4.0,2.0,93.0,0.0
78,77,24032.0,4.03515625,2139.94140625,393.51953125,19965.25,22498.7109375,21892.05859375,91.09545020701565,1533.2890625,6.3801974970872175,0.0,0.0,2478.0,5.0,3.0,92.0,0.0
79,78,24032.0,4.03515625,2139.84375,393.51953125,19965.2734375,22498.63671875,21892.15625,91.095856566245,1533.36328125,6.380506330101532,0.0,0.0,1949.0,4.0,2.0,93.0,0.0
80,79,24032.0,4.03515625,2137.35546875,393.51953125,19965.28515625,22496.16015625,21894.64453125,91.10621059940912,1535.83984375,6.3908116001581226,0.0,0.0,3588.0,6.0,5.0,88.0,0.0
81,80,24032.0,4.03515625,2142.9375,393.51953125,19965.33203125,22501.7890625,21889.0625,91.08298310585884,1530.2109375,6.367389054177764,0.0,0.0,3876.0,6.0,3.0,91.0,0.0
82,81,24032.0,4.03515625,2141.1015625,393.51953125,19965.359375,22499.98046875,21890.8984375,91.09062265937084,1532.01953125,6.374914827105525,0.0,0.0,2531.0,5.0,3.0,92.0,0.0
83,82,24032.0,4.03515625,2145.49609375,393.51953125,19965.39453125,22504.41015625,21886.50390625,91.0723364940496,1527.58984375,6.356482372461718,0.0,0.0,2244.0,5.0,2.0,93.0,0.0
84,83,24032.0,4.03515625,2144.51171875,393.51953125,19965.4140625,22503.4453125,21887.48828125,91.07643259508156,1528.5546875,6.360497201647802,0.0,0.0,4267.0,5.0,3.0,92.0,0.0
85,84,24032.0,4.03515625,2139.27734375,393.51953125,19965.43359375,22498.23046875,21892.72265625,91.0982134497753,1533.76953125,6.382196784495672,0.0,0.0,6007.0,7.0,5.0,87.0,0.0
86,85,24032.0,4.03515625,2153.9921875,393.51953125,19965.48046875,22512.9921875,21878.0078125,91.0369832410952,1519.0078125,6.320771523385487,0.0,0.0,5008.0,11.0,4.0,85.0,0.0
87,86,24032.0,4.03515625,2155.0,393.51953125,19965.5,22514.01953125,21877.0,91.0327896138482,1517.98046875,6.3164966242926095,0.0,0.0,2607.0,5.0,3.0,93.0,0.0
88,87,24032.0,4.03515625,2151.171875,393.51953125,19965.5234375,22510.21484375,21880.828125,91.04871889563914,1521.78515625,6.332328379868509,0.0,0.0,2429.0,5.0,3.0,92.0,0.0
89,88,24032.0,4.03515625,2156.0390625,393.51953125,19965.53515625,22515.09375,21875.9609375,91.0284659516478,1516.90625,6.312026672769641,0.0,0.0,1963.0,5.0,2.0,93.0,0.0
90,89,24032.0,4.03515625,2150.59375,393.51953125,19965.57421875,22509.6875,21881.40625,91.05112454227697,1522.3125,6.334522719707057,0.0,0.0,3044.0,6.0,4.0,90.0,0.0
91,90,24032.0,4.03515625,2150.65625,393.51953125,19965.6015625,22509.77734375,21881.34375,91.05086447237018,1522.22265625,6.334148869216046,0.0,0.0,2273.0,4.0,2.0,94.0,0.0
92,91,24032.0,4.03515625,2147.23828125,393.51953125,19965.609375,22506.3671875,21884.76171875,91.0650870453978,1525.6328125,6.348338933505326,0.0,0.0,2227.0,5.0,2.0,93.0,0.0
93,92,24032.0,4.03515625,2147.23828125,393.51953125,19965.63671875,22506.39453125,21884.76171875,91.0650870453978,1525.60546875,6.348225152921105,0.0,0.0,2022.0,4.0,2.0,94.0,0.0
94,93,24032.0,4.03515625,2145.2734375,393.51953125,19965.6640625,22504.45703125,21886.7265625,91.07326299309254,1527.54296875,6.356287320031624,0.0,0.0,2155.0,5.0,2.0,93.0,0.0
95,94,24032.0,4.03515625,2151.94921875,393.51953125,19965.68359375,22511.15234375,21880.05078125,91.04548427617344,1520.84765625,6.328427331266645,0.0,0.0,2151.0,4.0,2.0,93.0,0.0
96,95,24032.0,4.03515625,2149.75390625,393.51953125,19965.71875,22508.9921875,21882.24609375,91.05461923164947,1523.0078125,6.3374159974201065,0.0,0.0,3271.0,6.0,4.0,89.0,0.0
97,96,24032.0,4.03515625,2146.0625,393.51953125,19965.73828125,22505.3203125,21885.9375,91.0699796105193,1526.6796875,6.3526951044440745,0.0,0.0,2541.0,9.0,2.0,89.0,0.0
98,97,24032.0,4.03515625,2145.81640625,393.51953125,19965.765625,22505.1015625,21886.18359375,91.07100363577729,1526.8984375,6.353605349117843,0.0,0.0,2336.0,4.0,2.0,94.0,0.0
99,98,24032.0,4.03515625,2144.09375,393.51953125,19965.78515625,22503.3984375,21887.90625,91.07817181258322,1528.6015625,6.360692254077896,0.0,0.0,1995.0,4.0,2.0,94.0,0.0
100,99,24032.0,4.03515625,2141.41796875,393.51953125,19965.81640625,22500.75390625,21890.58203125,91.08930605546772,1531.24609375,6.371696462008988,0.0,0.0,2481.0,5.0,2.0,93.0,0.0
101,100,24032.0,4.03515625,2141.12890625,393.51953125,19965.8515625,22500.5,21890.87109375,91.09050887878661,1531.5,6.372752996005326,0.0,0.0,2917.0,6.0,4.0,90.0,0.0
102,101,24032.0,4.03515625,2141.55078125,393.51953125,19965.8671875,22500.9375,21890.44921875,91.08875340691579,1531.0625,6.370932506657789,0.0,0.0,2493.0,6.0,3.0,91.0,0.0
103,102,24032.0,4.03515625,2140.5703125,393.51953125,19965.91796875,22500.0078125,21891.4296875,91.09283325357856,1531.9921875,6.374801046521304,0.0,0.0,7076.0,7.0,4.0,89.0,0.0
104,103,24032.0,4.03515625,2139.04296875,393.51953125,19965.92578125,22498.48828125,21892.95703125,91.09918871192576,1533.51171875,6.38112399613016,0.0,0.0,3239.0,5.0,3.0,92.0,0.0
105,104,24032.0,4.03515625,2138.68359375,393.51953125,19965.9609375,22498.1640625,21893.31640625,91.10068411388981,1533.8359375,6.382473108771637,0.0,0.0,2071.0,4.0,2.0,94.0,0.0
106,105,24032.0,4.03515625,2139.94140625,393.51953125,19965.984375,22499.4453125,21892.05859375,91.09545020701565,1532.5546875,6.377141675682424,0.0,0.0,3060.0,6.0,4.0,89.0,0.0
107,106,24032.0,4.03515625,2139.94140625,393.51953125,19966.1484375,22499.609375,21892.05859375,91.09545020701565,1532.390625,6.376458992177097,0.0,0.0,2207.0,5.0,2.0,93.0,0.0
108,107,24032.0,4.03515625,2145.796875,393.51953125,19966.16796875,22505.484375,21886.203125,91.07108490762317,1526.515625,6.352012420938748,0.0,0.0,2332.0,5.0,3.0,93.0,0.0
109,108,24032.0,4.03515625,2143.58203125,393.51953125,19966.203125,22503.3046875,21888.41796875,91.08030113494507,1528.6953125,6.361082358938082,0.0,0.0,2173.0,9.0,2.0,89.0,0.0
110,109,24032.0,4.03515625,2139.671875,393.51953125,19966.25,22499.44140625,21892.328125,91.0965717584887,1532.55859375,6.377157930051598,0.0,0.0,2392.0,5.0,3.0,92.0,0.0
