source_path_redacted,public_path,action,reason,source_size_bytes
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/ip_s_link_after.log,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/ip_s_link_after.log,sanitized_text,text identifiers and sensitive values redacted,410
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/ip_s_link_before.log,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/ip_s_link_before.log,sanitized_text,text identifiers and sensitive values redacted,410
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/mpstat_all.log,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/mpstat_all.log,sanitized_text,text identifiers and sensitive values redacted,292331
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/mtr_PRIVATE_IP_021.log,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/mtr_PRIVATE_IP_021.log,sanitized_text,text identifiers and sensitive values redacted,277
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/nping_tcp_PRIVATE_IP_021_502.log,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/nping_tcp_PRIVATE_IP_021_502.log,sanitized_text,text identifiers and sensitive values redacted,49
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/nstat_after.log,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/nstat_after.log,sanitized_text,text identifiers and sensitive values redacted,22737
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/nstat_before.log,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/nstat_before.log,sanitized_text,text identifiers and sensitive values redacted,22737
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/openssl_speed_aes_128_gcm.log,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/openssl_speed_aes_128_gcm.log,sanitized_text,text identifiers and sensitive values redacted,1408
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/openssl_speed_aes_256_gcm.log,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/openssl_speed_aes_256_gcm.log,sanitized_text,text identifiers and sensitive values redacted,1408
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/openssl_speed_chacha20_poly1305.log,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/openssl_speed_chacha20_poly1305.log,sanitized_text,text identifiers and sensitive values redacted,1483
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/openvpn_systemctl_status.log,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/openvpn_systemctl_status.log,sanitized_text,text identifiers and sensitive values redacted,399
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/pidstat_all.log,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/pidstat_all.log,sanitized_text,text identifiers and sensitive values redacted,1957807
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/ping_PRIVATE_IP_021.log,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/ping_PRIVATE_IP_021.log,sanitized_text,text identifiers and sensitive values redacted,125128
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/pmtu_ping_M_do.log,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/pmtu_ping_M_do.log,sanitized_text,text identifiers and sensitive values redacted,4198
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/sar_cpu.log,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/sar_cpu.log,sanitized_text,text identifiers and sensitive values redacted,36301
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/sar_load.log,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/sar_load.log,sanitized_text,text identifiers and sensitive values redacted,21805
