procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   2328 1375308 402116 20413656    0    0     0  1208 5374 5075  5  5 90  0  0  0
 1  0   2328 1374904 402116 20413688    0    0     0    88 2352 1953  2  2 96  0  0  0
 1  0   2328 1371152 402116 20413724    0    0     0   104 4100 4252  3  3 95  0  0  0
 1  0   2328 1377200 402116 20413752    0    0     0    88 2390 2001  2  2 96  0  0  0
 1  0   2328 1375940 402116 20413788    0    0     0   236 2482 2030  2  2 96  0  0  0
 1  0   2328 1375688 402116 20413828    0    0     0   180 2358 1960  2  2 96  0  0  0
 1  0   2328 1384856 402116 20413872    0    0     0   956 3636 2688  4  4 93  0  0  0
 1  0   2328 1390244 402116 20413900    0    0     0    88 3529 3449  3  2 95  0  0  0
 2  0   2328 1394008 402116 20413952    0    0     0    96 2907 2673  3  3 94  0  0  0
 1  0   2328 1401952 402116 20413972    0    0     0   232 2244 1531  2  2 96  0  0  0
 1  0   2328 1398736 402116 20414004    0    0     0   156 2078 1422  2  2 96  0  0  0
 1  0   2328 1391692 402116 20414036    0    0     0   184 3059 2154  3  3 93  0  0  0
 2  0   2328 1388948 402120 20414076    0    0     0   700 2728 2210  3  2 95  0  0  0
 1  0   2328 1393028 402120 20414108    0    0     0    96 2299 1868  2  2 96  0  0  0
 1  0   2328 1391520 402120 20414132    0    0     0   248 2302 1917  2  2 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0   2328 1389532 402120 20414160    0    0     0   280 2391 1993  2  2 97  0  0  0
 2  0   2328 1385260 402120 20414212    0    0     0   864 5691 4597  5  5 90  0  0  0
 2  0   2328 1386296 402120 20414252    0    0     0    92 2827 2059  2  2 95  0  0  0
 0  0   2328 1383528 402120 20414272    0    0     0    96 2671 2343  2  2 96  0  0  0
 0  0   2328 1382772 402120 20414300    0    0     0   212 2210 1807  1  2 97  0  0  0
 2  0   2328 1383876 402120 20414312    0    0     0   128 2273 1978  2  1 97  0  0  0
 1  0   2328 1377784 402120 20414364    0    0     0  1068 9080 3199  7  4 88  0  0  0
 3  0   2328 1377784 402120 20414372    0    0     0   416 2803 2139  3  2 95  0  0  0
 1  0   2328 1381936 402120 20414392    0    0     0    80 2182 1703  2  2 96  0  0  0
 0  0   2328 1381196 402120 20414420    0    0     0   200 2164 1828  2  2 97  0  0  0
 1  0   2328 1379432 402120 20414440    0    0     0   200 2268 1925  2  2 96  0  0  0
 1  0   2328 1384392 402120 20414472    0    0     0   132 2421 1960  2  2 96  0  0  0
 1  0   2328 1393944 402120 20414492    0    0     0   340 3093 2650  3  3 93  0  0  0
 1  0   2328 1385460 402120 20414524    0    0     0   104 5018 5728  4  4 92  0  0  0
 1  0   2328 1392596 402120 20414532    0    0     0   228 2452 1969  2  2 96  0  0  0
 1  0   2328 1383312 402120 20414580    0    0     0   148 4292 4478  4  3 94  0  0  0
 1  0   2328 1383312 402120 20414592    0    0     0    88 2436 2059  2  2 96  0  0  0
 1  0   2328 1380408 402120 20414756    0    0     0  1128 5616 5318  6  5 89  0  0  0
 0  0   2328 1380156 402120 20414776    0    0     0   100 2187 1825  2  1 97  0  0  0
 1  0   2328 1378144 402120 20414800    0    0     0   216 2898 2756  3  3 95  0  0  0
 1  0   2328 1381208 402120 20414824    0    0     0   236 2422 1924  2  2 96  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   2328 1379224 402120 20414852    0    0     0   116 2163 1818  2  2 97  0  0  0
 1  0   2328 1382944 402120 20414888    0    0     0   152 5263 4931  5  4 91  0  0  0
 0  0   2328 1378916 402120 20414916    0    0     0    96 2309 2020  2  2 96  0  0  0
 0  0   2328 1378664 402120 20414948    0    0     0   224 2083 1787  2  1 97  0  0  0
 0  0   2328 1375668 402120 20414984    0    0     0   116 2317 1960  2  2 97  0  0  0
 0  0   2328 1377804 402120 20415016    0    0     0   108 2333 1893  2  2 96  0  0  0
 1  0   2328 1374024 402120 20415068    0    0     0  1508 3962 3041  4  4 92  0  0  0
 0  0   2328 1382500 402120 20415096    0    0     0    88 2239 1901  2  2 96  0  0  0
 0  0   2328 1378108 402120 20415124    0    0     0   124 3534 3392  4  3 94  0  0  0
 0  0   2328 1389484 402120 20415136    0    0     0   244 2324 1951  2  2 96  0  0  0
 5  0   2328 1383468 402120 20415172    0    0     0   104 2790 2061  6  2 92  0  0  0
 0  0   2328 1389516 402120 20415184    0    0     0    80 2186 1783  2  1 96  0  0  0
 0  0   2328 1392044 402120 20415224    0    0     0   164 3430 2901  3  3 94  0  0  0
 0  0   2328 1391596 402120 20415252    0    0     0   176 2458 1980  2  2 96  0  0  0
 0  0   2328 1390564 402120 20415308    0    0     0   480 2381 1828  2  2 96  0  0  0
 0  0   2328 1388616 402120 20415328    0    0     0    96 2276 1884  2  2 96  0  0  0
 0  0   2328 1395464 402120 20415336    0    0     0   104 2332 1891  2  2 96  0  0  0
 1  0   2328 1389984 402120 20415376    0    0     0  1088 3693 2814  3  3 94  0  0  0
 0  0   2328 1388752 402120 20415396    0    0     0   108 2634 2135  3  2 95  0  0  0
 0  0   2328 1388512 402120 20415424    0    0     0   224 2281 1954  2  2 97  0  0  0
 0  0   2328 1386776 402120 20415440    0    0     0    96 2328 1915  2  2 96  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   2328 1384760 402120 20415468    0    0     0    88 2368 1883  2  2 97  0  0  0
 0  0   2328 1374444 402120 20415500    0    0     0   164 5273 5686  5  4 91  0  0  0
 0  0   2328 1374444 402120 20415536    0    0     0    92 2391 1996  2  2 96  0  0  0
 0  0   2328 1371712 402120 20415564    0    0     0   320 4150 4360  3  3 94  0  0  0
 0  0   2328 1376196 402120 20415572    0    0     0    88 2318 1855  2  2 96  0  0  0
 0  0   2328 1372672 402120 20415604    0    0     0   104 3910 4049  3  3 94  0  0  0
 0  0   2328 1382148 402120 20415636    0    0     0  1080 3683 2706  3  4 93  0  0  0
 0  0   2328 1380448 402128 20415668    0    0     0   132 2698 2198  3  2 95  0  0  0
 0  0   2328 1386524 402128 20415676    0    0     0   200 2315 1921  2  1 97  0  0  0
 0  0   2328 1385040 402128 20415704    0    0     0   104 2368 1861  3  2 96  0  0  0
 0  0   2328 1377732 402128 20415736    0    0     0    80 3901 3929  3  2 95  0  0  0
 0  0   2328 1376976 402128 20415752    0    0     0   104 2624 2213  3  2 95  0  0  0
 0  0   2328 1381376 402128 20415760    0    0     0   904 3593 2802  3  3 93  0  0  0
 0  0   2328 1379360 402128 20415812    0    0     0   312 2447 2093  2  2 95  0  0  0
 0  0   2328 1384772 402128 20415836    0    0     0    88 2044 1786  2  2 97  0  0  0
 5  0   2328 1381780 402128 20415888    0    0     0   104 2575 2052  3  2 95  0  0  0
 0  0   2328 1378828 402136 20415916    0    0     0   812 8486 2044  4  2 93  0  0  0
 1  0   2328 1375000 402136 20415940    0    0     0   164 3736 2855  4  4 92  0  0  0
 0  0   2328 1379860 402136 20415960    0    0     0   304 2471 2118  2  2 96  0  0  0
 0  0   2328 1378856 402136 20415988    0    0     0   132 2346 1931  2  2 97  0  0  0
 0  0   2328 1378632 402136 20416016    0    0     0    88 1964 1562  2  2 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   2328 1378632 402136 20416048    0    0     0   148 2536 2147  2  2 96  0  0  0
 0  0   2328 1380968 402136 20416096    0    0     0   836 3606 2777  3  4 93  0  0  0
 0  0   2328 1378448 402136 20416124    0    0     0   260 2714 2251  3  2 95  0  0  0
 0  0   2328 1383060 402136 20416140    0    0     0   148 2370 1926  2  2 97  0  0  0
 0  0   2328 1380376 402136 20416168    0    0     0    96 2368 1960  2  2 96  0  0  0
 0  0   2328 1386628 402144 20416180    0    0     0   340 2160 1752  2  2 97  0  0  0
