Linux 6.8.0-55-generic (ubuntu) 	29/05/26 	_x86_64_	(8 CPU)

15:48:54     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:49:04       1    1,98    0,00    1,98    0,99    0,00    0,00    0,00    0,00    0,00   95,05
15:49:04       2    1,02    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,98
15:49:04       3    1,01    0,00    3,03    0,00    0,00    0,00    0,00    0,00    0,00   95,96
15:49:04       4    5,05    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   92,93
15:49:04       5    2,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
15:49:04       6    1,01    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   96,97
15:49:04       7    1,01    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   96,97

15:49:04     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:49:05     all    1,51    0,00    1,26    0,00    0,00    0,13    0,00    0,00    0,00   97,10
15:49:05       0    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99
15:49:05       1    1,02    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   97,96
15:49:05       2    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
15:49:05       3    2,02    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   95,96
15:49:05       4    4,08    0,00    2,04    0,00    0,00    0,00    0,00    0,00    0,00   93,88
15:49:05       5    2,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00
15:49:05       6    1,00    0,00    1,00    0,00    0,00    1,00    0,00    0,00    0,00   97,00
15:49:05       7    1,01    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   97,98

15:49:05     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:49:06     all    2,89    0,00    3,14    0,25    0,00    0,13    0,00    0,00    0,00   93,58
15:49:06       0    2,00    0,00    4,00    1,00    0,00    0,00    0,00    0,00    0,00   93,00
15:49:06       1    2,02    0,00    1,01    1,01    0,00    0,00    0,00    0,00    0,00   95,96
15:49:06       2    3,03    0,00    4,04    0,00    0,00    1,01    0,00    0,00    0,00   91,92
15:49:06       3    2,00    0,00    3,00    0,00    0,00    0,00    0,00    0,00    0,00   95,00
15:49:06       4    5,94    0,00    4,95    0,00    0,00    0,00    0,00    0,00    0,00   89,11
15:49:06       5    2,04    0,00    3,06    0,00    0,00    0,00    0,00    0,00    0,00   94,90
15:49:06       6    3,03    0,00    3,03    0,00    0,00    0,00    0,00    0,00    0,00   93,94
15:49:06       7    3,03    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   94,95

15:49:06     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:49:07     all    2,01    0,00    1,89    0,00    0,00    0,13    0,00    0,00    0,00   95,97
15:49:07       0    4,95    0,00    0,00    0,00    0,00    0,99    0,00    0,00    0,00   94,06
15:49:07       1    0,00    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   97,98
15:49:07       2    2,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   96,00
15:49:07       3    2,02    0,00    3,03    0,00    0,00    0,00    0,00    0,00    0,00   94,95
15:49:07       4    1,01    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   97,98
15:49:07       5    1,98    0,00    2,97    0,00    0,00    0,00    0,00    0,00    0,00   95,05
15:49:07       6    2,06    0,00    1,03    0,00    0,00    0,00    0,00    0,00    0,00   96,91
15:49:07       7    2,02    0,00    3,03    0,00    0,00    0,00    0,00    0,00    0,00   94,95

15:49:07     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
