frame_index,adu_index,time_epoch,time_s,src_ip,dst_ip,src_port,dst_port,tcp_flags,tcp_seq,tcp_ack,direction,client_ip,server_ip,client_port,server_port,transaction_id,unit_id,function_code,function_base,function_name,is_exception,exception_code,exception_name,start_addr,quantity,byte_count,write_value,tcp_payload_bytes,adu_bytes,pdu_hex,parse_note,register_signature
97,1,1780087735.944556,0.19675326347351074,PRIVATE_IP_015,PRIVATE_IP_001,502,59014,PA,655793132,2098353283,Response,PRIVATE_IP_001,PRIVATE_IP_015,59014,502,193,1,3,3,Read Holding Registers,False,,,,,176.0,,185,185,REDACTED_PAYLOAD,ok,PRIVATE_IP_015|U1|FC3|no_addr
100,1,1780087736.7504468,1.0026440620422363,PRIVATE_IP_001,PRIVATE_IP_020,44326,502,PA,1689230214,3476812639,Query,PRIVATE_IP_001,PRIVATE_IP_020,44326,502,77,1,3,3,Read Holding Registers,False,,,0.0,100.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_020|U1|FC3|addr=0|qty=100
101,1,1780087736.7506258,1.0028231143951416,PRIVATE_IP_001,PRIVATE_IP_018,38884,502,PA,2444396556,109772346,Query,PRIVATE_IP_001,PRIVATE_IP_018,38884,502,77,1,3,3,Read Holding Registers,False,,,0.0,100.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_018|U1|FC3|addr=0|qty=100
102,1,1780087736.7554486,1.007645845413208,PRIVATE_IP_018,PRIVATE_IP_001,502,38884,PA,109772346,2444396568,Response,PRIVATE_IP_001,PRIVATE_IP_018,38884,502,77,1,3,3,Read Holding Registers,False,,,,,200.0,,209,209,REDACTED_PAYLOAD,ok,PRIVATE_IP_018|U1|FC3|no_addr
104,1,1780087736.75562,1.007817268371582,PRIVATE_IP_020,PRIVATE_IP_001,502,44326,PA,3476812639,1689230226,Response,PRIVATE_IP_001,PRIVATE_IP_020,44326,502,77,1,3,3,Read Holding Registers,False,,,,,200.0,,209,209,REDACTED_PAYLOAD,ok,PRIVATE_IP_020|U1|FC3|no_addr
106,1,1780087736.7682083,1.0204055309295654,PRIVATE_IP_001,PRIVATE_IP_019,59748,502,PA,917162849,659711513,Query,PRIVATE_IP_001,PRIVATE_IP_019,59748,502,77,1,3,3,Read Holding Registers,False,,,0.0,100.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_019|U1|FC3|addr=0|qty=100
107,1,1780087736.7736528,1.0258500576019287,PRIVATE_IP_019,PRIVATE_IP_001,502,59748,PA,659711513,917162861,Response,PRIVATE_IP_001,PRIVATE_IP_019,59748,502,77,1,3,3,Read Holding Registers,False,,,,,200.0,,209,209,REDACTED_PAYLOAD,ok,PRIVATE_IP_019|U1|FC3|no_addr
109,1,1780087736.8372102,1.0894074440002441,PRIVATE_IP_001,PRIVATE_IP_017,57898,502,PA,2556262960,138279370,Query,PRIVATE_IP_001,PRIVATE_IP_017,57898,502,77,1,3,3,Read Holding Registers,False,,,0.0,100.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_017|U1|FC3|addr=0|qty=100
112,1,1780087736.8420005,1.0941977500915527,PRIVATE_IP_017,PRIVATE_IP_001,502,57898,PA,138279370,2556262972,Response,PRIVATE_IP_001,PRIVATE_IP_017,57898,502,77,1,3,3,Read Holding Registers,False,,,,,200.0,,209,209,REDACTED_PAYLOAD,ok,PRIVATE_IP_017|U1|FC3|no_addr
168,1,1780087736.9055424,1.1577396392822266,PRIVATE_IP_001,PRIVATE_IP_015,59144,502,PA,3339724509,2113725424,Query,PRIVATE_IP_001,PRIVATE_IP_015,59144,502,229,1,3,3,Read Holding Registers,False,,,1.0,1.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_015|U1|FC3|addr=1|qty=1
