frame_index,time_s,src_ip,dst_ip,src_port,dst_port,direction,payload_bytes,syn,fin,rst,probable_retransmission,flags
91,0.17957639694213867,PRIVATE_IP_001,PRIVATE_IP_015,59014,502,Query,0,0,0,0,0,A
92,0.18300604820251465,PRIVATE_IP_001,PRIVATE_IP_015,59014,502,Query,12,0,0,0,0,PA
93,0.18752646446228027,PRIVATE_IP_012,PRIVATE_IP_001,502,58538,Response,53,0,0,0,0,PA
94,0.18762922286987305,PRIVATE_IP_001,PRIVATE_IP_012,58538,502,Query,0,0,0,0,0,A
95,0.18882060050964355,PRIVATE_IP_015,PRIVATE_IP_001,502,59014,Response,255,0,0,0,0,PA
96,0.19147729873657227,PRIVATE_IP_001,PRIVATE_IP_015,59014,502,Query,12,0,0,0,0,PA
97,0.19675326347351074,PRIVATE_IP_015,PRIVATE_IP_001,502,59014,Response,185,0,0,0,0,PA
98,0.23744702339172363,PRIVATE_IP_001,PRIVATE_IP_015,59014,502,Query,0,0,0,0,0,A
99,0.2615382671356201,PRIVATE_IP_001,PRIVATE_IP_010,42574,502,Query,0,1,0,0,0,S
100,1.0026440620422363,PRIVATE_IP_001,PRIVATE_IP_020,44326,502,Query,12,0,0,0,0,PA
101,1.0028231143951416,PRIVATE_IP_001,PRIVATE_IP_018,38884,502,Query,12,0,0,0,0,PA
102,1.007645845413208,PRIVATE_IP_018,PRIVATE_IP_001,502,38884,Response,209,0,0,0,0,PA
103,1.007758378982544,PRIVATE_IP_001,PRIVATE_IP_018,38884,502,Query,0,0,0,0,0,A
104,1.007817268371582,PRIVATE_IP_020,PRIVATE_IP_001,502,44326,Response,209,0,0,0,0,PA
105,1.0078561305999756,PRIVATE_IP_001,PRIVATE_IP_020,44326,502,Query,0,0,0,0,0,A
106,1.0204055309295654,PRIVATE_IP_001,PRIVATE_IP_019,59748,502,Query,12,0,0,0,0,PA
107,1.0258500576019287,PRIVATE_IP_019,PRIVATE_IP_001,502,59748,Response,209,0,0,0,0,PA
108,1.0258865356445312,PRIVATE_IP_001,PRIVATE_IP_019,59748,502,Query,0,0,0,0,0,A
109,1.0894074440002441,PRIVATE_IP_001,PRIVATE_IP_017,57898,502,Query,12,0,0,0,0,PA
112,1.0941977500915527,PRIVATE_IP_017,PRIVATE_IP_001,502,57898,Response,209,0,0,0,0,PA
113,1.0942726135253906,PRIVATE_IP_001,PRIVATE_IP_017,57898,502,Query,0,0,0,0,0,A
123,1.1322546005249023,PRIVATE_IP_001,PRIVATE_IP_015,51476,502,Query,0,1,0,0,0,S
124,1.1323044300079346,PRIVATE_IP_001,PRIVATE_IP_017,45184,502,Query,0,1,0,0,0,S
125,1.132336139678955,PRIVATE_IP_001,PRIVATE_IP_018,51386,502,Query,0,1,0,0,0,S
127,1.132380485534668,PRIVATE_IP_001,PRIVATE_IP_020,48040,502,Query,0,1,0,0,0,S
128,1.1324093341827393,PRIVATE_IP_001,PRIVATE_IP_015,51484,502,Query,0,1,0,0,0,S
129,1.1324503421783447,PRIVATE_IP_001,PRIVATE_IP_021,60092,502,Query,0,1,0,0,0,S
131,1.1348183155059814,PRIVATE_IP_020,PRIVATE_IP_001,502,48040,Response,0,1,0,0,0,SA
132,1.134876012802124,PRIVATE_IP_001,PRIVATE_IP_020,48040,502,Query,0,0,0,0,0,A
133,1.134918212890625,PRIVATE_IP_015,PRIVATE_IP_001,502,51476,Response,0,1,0,0,0,SA
134,1.1349563598632812,PRIVATE_IP_001,PRIVATE_IP_015,51476,502,Query,0,0,0,0,0,A
135,1.1352195739746094,PRIVATE_IP_017,PRIVATE_IP_001,502,45184,Response,0,1,0,0,0,SA
136,1.1352663040161133,PRIVATE_IP_001,PRIVATE_IP_017,45184,502,Query,0,0,0,0,0,A
137,1.1354353427886963,PRIVATE_IP_021,PRIVATE_IP_001,502,60092,Response,0,1,0,0,0,SA
138,1.1354808807373047,PRIVATE_IP_001,PRIVATE_IP_021,60092,502,Query,0,0,0,0,0,A
139,1.1358754634857178,PRIVATE_IP_018,PRIVATE_IP_001,502,51386,Response,0,1,0,0,0,SA
140,1.1359212398529053,PRIVATE_IP_001,PRIVATE_IP_018,51386,502,Query,0,0,0,0,0,A
142,1.1367418766021729,PRIVATE_IP_015,PRIVATE_IP_001,502,51484,Response,0,1,0,0,0,SA
143,1.1367897987365723,PRIVATE_IP_001,PRIVATE_IP_015,51484,502,Query,0,0,0,0,0,A
144,1.142798662185669,PRIVATE_IP_001,PRIVATE_IP_020,48040,502,Query,0,0,1,0,0,FA
145,1.142916202545166,PRIVATE_IP_001,PRIVATE_IP_015,51476,502,Query,0,0,1,0,0,FA
146,1.143019437789917,PRIVATE_IP_001,PRIVATE_IP_017,45184,502,Query,0,0,1,0,0,FA
147,1.143125295639038,PRIVATE_IP_001,PRIVATE_IP_021,60092,502,Query,0,0,1,0,0,FA
148,1.143221139907837,PRIVATE_IP_001,PRIVATE_IP_018,51386,502,Query,0,0,1,0,0,FA
149,1.143496036529541,PRIVATE_IP_001,PRIVATE_IP_015,51484,502,Query,0,0,1,0,0,FA
150,1.1445200443267822,PRIVATE_IP_020,PRIVATE_IP_001,502,48040,Response,0,0,0,0,0,A
151,1.1449205875396729,PRIVATE_IP_017,PRIVATE_IP_001,502,45184,Response,0,0,0,0,0,A
152,1.1450886726379395,PRIVATE_IP_018,PRIVATE_IP_001,502,51386,Response,0,0,0,0,0,A
153,1.14522123336792,PRIVATE_IP_021,PRIVATE_IP_001,502,60092,Response,0,0,0,0,0,A
154,1.1453440189361572,PRIVATE_IP_015,PRIVATE_IP_001,502,51476,Response,0,0,0,0,0,A
155,1.1460988521575928,PRIVATE_IP_020,PRIVATE_IP_001,502,48040,Response,0,0,1,0,0,FA
156,1.1461482048034668,PRIVATE_IP_001,PRIVATE_IP_020,48040,502,Query,0,0,0,0,0,A
157,1.1461868286132812,PRIVATE_IP_018,PRIVATE_IP_001,502,51386,Response,0,0,1,0,0,FA
158,1.146216869354248,PRIVATE_IP_001,PRIVATE_IP_018,51386,502,Query,0,0,0,0,0,A
159,1.1463360786437988,PRIVATE_IP_017,PRIVATE_IP_001,502,45184,Response,0,0,1,0,0,FA
160,1.146393060684204,PRIVATE_IP_001,PRIVATE_IP_017,45184,502,Query,0,0,0,0,0,A
161,1.1464340686798096,PRIVATE_IP_015,PRIVATE_IP_001,502,51484,Response,0,0,0,0,0,A
162,1.147289752960205,PRIVATE_IP_015,PRIVATE_IP_001,502,51476,Response,0,0,1,0,0,FA
163,1.1473302841186523,PRIVATE_IP_001,PRIVATE_IP_015,51476,502,Query,0,0,0,0,0,A
164,1.1481857299804688,PRIVATE_IP_015,PRIVATE_IP_001,502,51484,Response,0,0,1,0,0,FA
165,1.1482257843017578,PRIVATE_IP_001,PRIVATE_IP_015,51484,502,Query,0,0,0,0,0,A
166,1.148435115814209,PRIVATE_IP_021,PRIVATE_IP_001,502,60092,Response,0,0,1,0,0,FA
167,1.1484739780426025,PRIVATE_IP_001,PRIVATE_IP_021,60092,502,Query,0,0,0,0,0,A
168,1.1577396392822266,PRIVATE_IP_001,PRIVATE_IP_015,59144,502,Query,12,0,0,0,0,PA
169,1.1614618301391602,PRIVATE_IP_001,PRIVATE_IP_022,53918,502,Query,12,0,0,0,0,PA
170,1.1615674495697021,PRIVATE_IP_001,PRIVATE_IP_014,39332,502,Query,12,0,0,0,0,PA
171,1.161665916442871,PRIVATE_IP_001,PRIVATE_IP_009,36786,502,Query,12,0,0,0,0,PA
172,1.1628425121307373,PRIVATE_IP_014,PRIVATE_IP_001,502,39332,Response,0,0,0,0,0,A
173,1.1629385948181152,PRIVATE_IP_009,PRIVATE_IP_001,502,36786,Response,0,0,0,0,0,A
174,1.1632018089294434,PRIVATE_IP_015,PRIVATE_IP_001,502,59144,Response,11,0,0,0,0,PA
175,1.1632611751556396,PRIVATE_IP_001,PRIVATE_IP_015,59144,502,Query,0,0,0,0,0,A
177,1.1636106967926025,PRIVATE_IP_001,PRIVATE_IP_013,55738,502,Query,12,0,0,0,0,PA
178,1.1636881828308105,PRIVATE_IP_001,PRIVATE_IP_021,43314,502,Query,12,0,0,0,0,PA
179,1.1636967658996582,PRIVATE_IP_022,PRIVATE_IP_001,502,53918,Response,81,0,0,0,0,PA
180,1.1637520790100098,PRIVATE_IP_001,PRIVATE_IP_022,53918,502,Query,0,0,0,0,0,A
182,1.1656336784362793,PRIVATE_IP_013,PRIVATE_IP_001,502,55738,Response,0,0,0,0,0,A
183,1.1664040088653564,PRIVATE_IP_001,PRIVATE_IP_015,59144,502,Query,12,0,0,0,0,PA
