sample,elapsed_s,mem_total_mib,swpd_mib,free_mib,buff_mib,cache_mib,available_proxy_mib,used_including_cache_mib,used_including_cache_pct,used_without_buffer_cache_mib,used_without_buffer_cache_pct,swap_in_kib_s,swap_out_kib_s,context_switches_s,cpu_user_pct,cpu_system_pct,cpu_idle_pct,cpu_iowait_pct
23,22,24032.0,4.03515625,2278.05078125,392.83984375,19852.55078125,22523.44140625,21753.94921875,90.52076073048435,1508.55859375,6.277291085843875,0.0,0.0,2486.0,5.0,2.0,93.0,0.0
24,23,24032.0,4.03515625,2278.23828125,392.83984375,19852.578125,22523.65625,21753.76171875,90.51998052076398,1508.34375,6.276397095539281,0.0,0.0,4271.0,5.0,3.0,92.0,0.0
25,24,24032.0,4.03515625,2277.27734375,392.83984375,19852.61328125,22522.73046875,21754.72265625,90.5239790955809,1509.26953125,6.280249381033622,0.0,0.0,2044.0,4.0,2.0,94.0,0.0
26,25,24032.0,4.03515625,2283.75,392.83984375,19852.60546875,22529.1953125,21748.25,90.49704560585884,1502.8046875,6.2533484000499335,0.0,0.0,2721.0,5.0,3.0,92.0,0.0
27,26,24032.0,4.03515625,2280.30078125,392.83984375,19852.6328125,22525.7734375,21751.69921875,90.51139821383988,1506.2265625,6.267587227446738,0.0,0.0,2965.0,6.0,4.0,90.0,0.0
28,27,24032.0,4.03515625,2279.0703125,392.83984375,19852.65625,22524.56640625,21752.9296875,90.51651834012982,1507.43359375,6.272609827521637,0.0,0.0,2176.0,5.0,2.0,93.0,0.0
29,28,24032.0,4.03515625,2282.1875,392.83984375,19852.6875,22527.71484375,21749.8125,90.50354735352862,1504.28515625,6.2595088059670445,0.0,0.0,2346.0,4.0,2.0,93.0,0.0
30,29,24032.0,4.03515625,2279.51171875,392.83984375,19852.703125,22525.0546875,21752.48828125,90.51468159641311,1506.9453125,6.270578031374834,0.0,0.0,1982.0,4.0,2.0,93.0,0.0
31,30,24032.0,4.03515625,2277.546875,392.83984375,19852.7421875,22523.12890625,21754.453125,90.52285754410786,1508.87109375,6.278591435377829,0.0,0.0,2072.0,4.0,2.0,94.0,0.0
32,31,24032.0,4.03515625,2274.1015625,392.83984375,19852.75390625,22519.6953125,21757.8984375,90.5371938977197,1512.3046875,6.292879025882157,0.0,0.0,2185.0,5.0,2.0,93.0,0.0
33,32,24032.0,4.03515625,2274.07421875,392.83984375,19852.9296875,22519.84375,21757.92578125,90.53730767830392,1512.15625,6.292261359853529,0.0,0.0,3452.0,10.0,4.0,86.0,0.0
34,33,24032.0,4.03515625,2273.47265625,392.83984375,19852.95703125,22519.26953125,21758.52734375,90.53981085115679,1512.73046875,6.294650752122171,0.0,0.0,2219.0,5.0,2.0,93.0,0.0
35,34,24032.0,4.03515625,2272.4921875,392.83984375,19852.9765625,22518.30859375,21759.5078125,90.54389069781958,1513.69140625,6.29864932693908,0.0,0.0,1916.0,4.0,2.0,94.0,0.0
36,35,24032.0,4.03515625,2269.07421875,392.83984375,19853.01171875,22514.92578125,21762.92578125,90.5581132708472,1517.07421875,6.312725610644142,0.0,0.0,2163.0,5.0,2.0,93.0,0.0
37,36,24032.0,4.03515625,2267.10546875,392.83984375,19853.03125,22512.9765625,21764.89453125,90.56630547291113,1519.0234375,6.320836540862183,0.0,0.0,2103.0,4.0,2.0,94.0,0.0
38,37,24032.0,4.03515625,2264.68359375,392.83984375,19853.06640625,22510.58984375,21767.31640625,90.57638318179927,1521.41015625,6.330767960427764,0.0,0.0,3134.0,6.0,4.0,90.0,0.0
39,38,24032.0,4.03515625,2264.4375,392.83984375,19853.09375,22510.37109375,21767.5625,90.57740720705726,1521.62890625,6.331678205101532,0.0,0.0,2315.0,5.0,3.0,92.0,0.0
40,39,24032.0,4.03515625,2269.13671875,392.83984375,19853.12109375,22515.09765625,21762.86328125,90.55785320094041,1516.90234375,6.312010418400465,0.0,0.0,2226.0,5.0,2.0,93.0,0.0
41,40,24032.0,4.03515625,2263.03515625,392.83984375,19853.13671875,22509.01171875,21768.96484375,90.58324252559088,1522.98828125,6.337334725574234,0.0,0.0,2039.0,5.0,3.0,93.0,0.0
42,41,24032.0,4.03515625,2260.38671875,392.83984375,19853.1640625,22506.390625,21771.61328125,90.59426298789116,1525.609375,6.3482414072902795,0.0,0.0,2059.0,5.0,2.0,94.0,0.0
43,42,24032.0,4.03515625,2258.6640625,392.83984375,19853.18359375,22504.6875,21773.3359375,90.60143116469706,1527.3125,6.355328312250333,0.0,0.0,3029.0,5.0,4.0,91.0,0.0
44,43,24032.0,4.03515625,2256.83203125,392.83984375,19853.20703125,22502.87890625,21775.16796875,90.60905446383988,1529.12109375,6.362854085178096,0.0,0.0,3996.0,5.0,3.0,92.0,0.0
45,44,24032.0,4.03515625,2257.9921875,392.83984375,19853.2421875,22504.07421875,21774.0078125,90.60422691619507,1527.92578125,6.357880248210719,0.0,0.0,8509.0,12.0,4.0,84.0,0.0
46,45,24032.0,4.03515625,2257.09375,392.83984375,19853.27734375,22503.2109375,21774.90625,90.60796542110519,1528.7890625,6.361472463798269,0.0,0.0,2184.0,5.0,2.0,93.0,0.0
47,46,24032.0,4.03515625,2261.79296875,392.83984375,19853.30859375,22507.94140625,21770.20703125,90.58841141498834,1524.05859375,6.34178842272803,0.0,0.0,2317.0,4.0,2.0,93.0,0.0
48,47,24032.0,4.03515625,2260.7890625,392.83984375,19853.33203125,22506.9609375,21771.2109375,90.59258878786618,1525.0390625,6.345868269390813,0.0,0.0,3385.0,6.0,4.0,89.0,0.0
49,48,24032.0,4.03515625,2260.65234375,392.83984375,19853.37109375,22506.86328125,21771.34765625,90.59315769078728,1525.13671875,6.346274628620173,0.0,0.0,2700.0,5.0,2.0,92.0,0.0
50,49,24032.0,4.03515625,2274.91796875,392.83984375,19853.390625,22521.1484375,21757.08203125,90.53379673456226,1510.8515625,6.286832400549268,0.0,0.0,2421.0,4.0,2.0,94.0,0.0
51,50,24032.0,4.03515625,2273.44140625,392.83984375,19853.4375,22519.71875,21758.55859375,90.53994088611019,1512.28125,6.292781499667111,0.0,0.0,2096.0,4.0,2.0,94.0,0.0
52,51,24032.0,4.03515625,2270.984375,392.83984375,19853.453125,22517.27734375,21761.015625,90.5501648843209,1514.72265625,6.302940480401132,0.0,0.0,2402.0,5.0,3.0,92.0,0.0
53,52,24032.0,4.03515625,2272.49609375,392.83984375,19853.4765625,22518.8125,21759.50390625,90.5438744434504,1513.1875,6.296552513315579,0.0,0.0,2362.0,5.0,2.0,93.0,0.0
54,53,24032.0,4.03515625,2277.8359375,392.83984375,19853.5078125,22524.18359375,21754.1640625,90.52165472078894,1507.81640625,6.274202755700732,0.0,0.0,5011.0,7.0,5.0,88.0,0.0
55,54,24032.0,4.03515625,2273.6796875,392.83984375,19853.5390625,22520.05859375,21758.3203125,90.53894936959055,1511.94140625,6.291367369548935,0.0,0.0,2565.0,5.0,2.0,93.0,0.0
