procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0   4132 1513912 420492 20998580    0    0     0  1732 5086 3397  7  5 89  0  0  0
 1  0   4132 1512656 420492 20998636    0    0     0    80 3244 2340  4  2 93  0  0  0
 1  0   4132 1515568 420492 20998660    0    0     0   472 3787 2464  9  2 88  0  0  0
 3  0   4132 1513300 420492 20998676    0    0     0   100 3299 2355  4  3 93  0  0  0
 1  0   4132 1512484 420492 20998708    0    0     0   112 3339 2258  5  2 93  0  0  0
 1  0   4132 1507736 420492 20998740    0    0     0   188 5654 5021  7  4 88  0  0  0
 2  0   4132 1507736 420492 20998776    0    0     0   724 3827 2551  5  3 92  0  0  0
 2  0   4132 1515496 420492 20998808    0    0     0   232 5798 6521  6  4 90  0  0  0
 2  0   4132 1529592 420492 20998836    0    0     0   124 3160 2274  4  2 93  0  0  0
 2  0   4132 1527328 420492 20998852    0    0     0    88 3192 2164  5  2 93  0  0  0
 1  0   4132 1526640 420492 20998884    0    0     0   188 4427 3036  6  4 89  0  0  0
 2  0   4132 1529232 420492 20998920    0    0     0    80 3507 2540  5  2 93  0  0  0
 1  0   4132 1528728 420492 20998948    0    0     0   380 3430 2494  5  3 92  0  0  0
 3  0   4132 1529512 420492 20998972    0    0     0    80 3584 2577  5  3 92  0  0  0
 3  0   4132 1519936 420492 20998996    0    0     0   112 9487 2829 11  3 86  0  0  0
12  0   4132 1519256 420492 20999020    0    0     0   876 3737 2465  5  3 91  0  0  0
 1  0   4132 1521480 420492 20999068    0    0     0   104 4112 3045  5  3 92  0  0  0
 2  0   4132 1532488 420492 20999104    0    0     0   208 3066 2120  5  2 93  0  0  0
 1  0   4132 1530252 420492 20999116    0    0     0   128 3368 2407  4  2 93  0  0  0
 1  0   4132 1526344 420492 20999160    0    0     0    76 4686 4079  6  3 91  0  0  0
 2  0   4132 1524528 420492 20999164    0    0     0   828 3240 2143  5  2 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   4132 1523520 420492 20999220    0    0     0   140 4304 3231  6  4 90  0  0  0
 1  0   4132 1521756 420492 20999244    0    0     0   112 3375 2418  5  3 92  0  0  0
 1  0   4132 1518240 420492 20999284    0    0     0   372 4549 4123  5  3 92  0  0  0
 3  0   4132 1516252 420492 20999304    0    0     0   104 3225 2369  4  2 94  0  0  0
 5  0   4132 1525480 420492 20999352    0    0     0   116 3336 2242  6  3 92  0  0  0
 0  0   4132 1529492 420492 20999368    0    0     0  1068 6098 4861 10  4 85  0  0  0
 1  0   4132 1532328 420492 20999412    0    0     0    88 3128 2096  5  2 93  0  0  0
 1  0   4132 1529840 420492 20999420    0    0     0   280 3159 2253  4  2 93  0  0  0
 0  0   4132 1527604 420492 20999468    0    0     0    88 3218 2153  5  2 93  0  0  0
 0  0   4132 1529212 420492 20999488    0    0     0   124 3273 2258  5  2 93  0  0  0
 1  0   4132 1529388 420492 20999532    0    0     0   948 4542 3160  6  5 90  0  0  0
 0  0   4132 1527124 420492 20999544    0    0     0   120 3559 2591  5  3 93  0  0  0
 0  0   4132 1530584 420492 20999588    0    0     0   220 3205 2390  5  2 93  0  0  0
 0  0   4132 1530584 420492 20999592    0    0     0   116 3156 2257  5  3 93  0  0  0
 0  0   4132 1530376 420492 20999640    0    0     0   124 4717 4312  5  3 92  0  0  0
 1  0   4132 1527844 420492 20999652    0    0     0   216 3946 3034  6  4 90  0  0  0
 0  0   4132 1523064 420492 20999736    0    0     0  1048 6560 6587  7  4 88  0  0  0
 0  0   4132 1522056 420492 20999748    0    0     0   244 4114 2720 10  3 88  0  0  0
 0  0   4132 1519536 420492 20999788    0    0     0   244 3400 2482  5  2 93  0  0  0
 0  0   4132 1522512 420492 20999804    0    0     0   136 3404 2369  4  3 93  0  0  0
 0  0   4132 1520748 420492 20999828    0    0     0   364 3250 2384  5  2 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   4132 1526248 420492 20999856    0    0     0   188 4760 3487  7  5 88  0  0  0
 0  0   4132 1528864 420492 20999892    0    0     0   264 3370 2550  4  2 93  0  0  0
 3  0   4132 1528612 420492 20999928    0    0     0   220 3098 2219  5  2 93  0  0  0
 0  0   4132 1532616 420492 20999936    0    0     0   128 3039 2122  4  2 94  0  0  0
 0  0   4132 1535328 420492 20999980    0    0     0   148 3359 2476  5  2 93  0  0  0
 0  0   4132 1530316 420492 21000000    0    0     0  1256 4371 3271  6  4 90  0  0  0
 5  0   4132 1530316 420492 21000016    0    0     0   252 3224 2373  4  2 93  0  0  0
 0  0   4132 1528352 420492 21000048    0    0     0    84 4828 4351  9  3 88  0  0  0
 0  0   4132 1526136 420492 21000068    0    0     0   152 3074 2228  4  2 94  0  0  0
 0  0   4132 1522892 420492 21000100    0    0     0    84 3259 2328  5  2 93  0  0  0
 0  0   4132 1527568 420492 21000136    0    0     0   336 4816 3538  6  4 90  0  0  0
 0  0   4132 1532476 420492 21000168    0    0     0  1004 5564 4837  6  4 91  0  0  0
 0  0   4132 1539760 420492 21000184    0    0     0   116 3229 2341  4  2 93  0  0  0
 0  0   4132 1543824 420492 21000232    0    0     0   108 3368 2262  6  3 91  0  0  0
 1  0   4132 1541836 420492 21000232    0    0     0   136 2924 1919  4  2 94  0  0  0
 1  0   4132 1532804 420492 21000332    0    0     0   432 3863 2606  6  4 91  0  0  0
 0  0   4132 1542256 420492 21000336    0    0     0   108 3822 2492  6  3 91  0  0  0
 0  0   4132 1539696 420492 21000384    0    0     0   176 2909 1786  4  2 93  0  0  0
 1  0   4132 1531436 420492 21000412    0    0     0   148 8900 2140 10  2 88  0  0  0
 0  0   4132 1529672 420492 21000440    0    0     0    80 2783 1730  4  2 94  0  0  0
 0  0   4132 1533204 420492 21000480    0    0     0   456 3123 1963  4  3 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   4132 1526100 420492 21000504    0    0     0  1152 4618 2916  6  5 89  0  0  0
 0  0   4132 1526100 420492 21000556    0    0     0   112 3486 2191  5  3 93  0  0  0
 1  0   4132 1521408 420492 21000576    0    0     0   136 4466 3756  5  4 91  0  0  0
 0  0   4132 1520704 420492 21000616    0    0     0   112 3422 2405  5  2 93  0  0  0
 3  0   4132 1525000 420492 21000624    0    0     0    76 5927 6669  6  4 90  0  0  0
 2  0   4132 1518264 420500 21000680    0    0     0   560 4734 3384  7  5 89  0  0  0
 0  0   4132 1518572 420500 21000704    0    0     0    96 3136 2121  4  2 93  0  0  0
 2  0   4132 1520740 420500 21000732    0    0     0   164 10845 3222 10  3 87  0  0  0
 0  0   4132 1518752 420500 21000772    0    0     0    80 3085 2307  5  2 94  0  0  0
 0  0   4132 1516540 420500 21000776    0    0     0   112 3151 2141  5  2 93  0  0  0
 1  0   4132 1523700 420500 21000848    0    0     0   432 4699 3565  6  4 89  0  0  0
 1  0   4132 1521776 420500 21000856    0    0     0   112 3654 2723  5  3 92  0  0  0
 0  0   4132 1527480 420500 21000888    0    0     0    92 3031 2139  5  2 93  0  0  0
 0  0   4132 1525212 420500 21000904    0    0     0   192 3229 2371  5  2 93  0  0  0
 0  0   4132 1523200 420500 21000936    0    0     0    76 2966 2266  4  2 94  0  0  0
 2  0   4132 1519500 420504 21000956    0    0     0   492 4093 3022  6  4 90  0  0  0
 1  0   4132 1513888 420504 21001016    0    0     0  1256 5117 4310  6  3 91  0  0  0
 1  0   4132 1513364 420504 21001028    0    0     0   128 3620 2655  4  2 93  0  0  0
